Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-11 09:51:19, Herzliya, 32.1592, 34.8071, 26, 31, 41, 51, 82, 153, 290.8, 4, 801, 161, 783, 52.0°
2018-06-11 07:51:56, Dakar, 14.7167, 17.4677, 59, 71, 95, 119, 190, 356, 277.6, 19, 373, 228, 427, 2.2°
2018-06-11 07:52:01, Conakry, 9.6412, 13.5784, 83, 100, 133, 167, 267, 500, 272.1, 40, 58, 225, 252, 3.5°
2018-06-11 09:52:07, Nairobi, -1.2921, 36.8219, 29, 35, 47, 59, 94, 177, 257.8, 6, 802, 145, 692, 44.1°
2018-06-11 07:52:11, Oran, 35.6971, -0.6308, 177, 213, 283, 354, 567, 1063, 337.9, 0, 719, 83, 358, 23.1°
2018-06-11 08:52:15, Valencia, 39.4699, -0.3763, 151, 181, 241, 301, 482, 904, 315.3, 0, 748, 81, 375, 24.1°
2018-06-11 08:52:19, Bordeaux, 44.8378, -0.5792, 142, 170, 227, 284, 454, 852, 326.9, 68, 4, 123, 125, 24.8°
2018-06-11 08:52:23, Paris, 48.8566, 2.3522, 107, 128, 171, 213, 342, 640, 317.7, 40, 66, 222, 252, 27.3°
2018-06-11 07:52:28, London, 51.8074, -0.1278, 139, 166, 222, 277, 443, 831, 346.3, 6, 630, 116, 387, 26.0°
2018-06-11 07:52:32, Tunis, 33.8869, 9.5375, 85, 102, 135, 169, 271, 508, 315.2, 26, 235, 235, 354, 31.9°
2018-06-11 08:52:38, Vatican, 41.9029, 12.4534, 69, 82, 110, 137, 220, 412, 315.8, 1, 796, 105, 541, 34.1°
2018-06-11 08:52:42, Venice, 45.4408, 12.3155, 69, 83, 111, 139, 222, 416, 318, 12, 513, 187, 469, 34.0°
2018-06-11 08:52:47, Milan, 45.4642, 9.1901, 77, 93, 124, 155, 248, 464, 310, 28, 205, 256, 360, 31.8°
2018-06-11 08:52:52, Hamburg, 53.5511, 9.9937, 78, 94, 126, 157, 251, 471, 335, 48, 29, 249, 264, 32.2°
2018-06-11 08:52:58, Tirana, 41.3275, 19.8187, 51, 61, 81, 101, 162, 304, 330, 4, 841, 110, 634, 39.6°
2018-06-11 08:53:02, Belgrade, 44.7866, 20.4489, 54, 64, 86, 107, 171, 321, 346.9, 4, 834, 112, 635, 39.8°
2018-06-11 08:53:07, Budapest, 47.4979, 19.0402, 53, 64, 85, 107, 171, 320, 329.7, 1, 792, 120, 604, 38.6°
2018-06-11 08:53:11, Warsaw, 52.2297, 21.0122, 55, 66, 88, 110, 176, 330, 338.5, 56, 12, 262, 269, 39.0°
2018-06-11 08:53:15, Alexandria, 31.2001, 29.9187, 30, 36, 48, 59, 95, 178, 289.1, 8, 681, 193, 688, 48.1°
2018-06-11 09:53:19, Istanbul, 41.0082, 28.9784, 34, 41, 55, 68, 109, 205, 313.3, 5, 765, 157, 704, 46.6°
2018-06-11 09:53:23, Odesa, 46.4825, 30.7233, 38, 46, 61, 76, 122, 229, 345.6, 4, 868, 122, 740, 46.6°
2018-06-11 09:53:28, Kiev, 50.4501, 30.5234, 40, 48, 65, 81, 129, 242, 348.5, 7, 862, 121, 725, 45.2°
2018-06-11 09:53:32, St.Peterburg, 59.9343, 30.3351, 48, 58, 77, 97, 155, 290, 346.1, 41, 68, 343, 387, 41.2°
