Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-10 12:04:59, Herzliya, 32.1592, 34.8071, 14, 17, 23, 29, 46, 86, 290.8, 1, 909, 164, 1055, 78.1°
2018-06-10 10:05:05, Dakar, 14.7167, 17.4677, 17, 21, 28, 35, 56, 104, 282.2, 8, 758, 223, 918, 32.1°
2018-06-10 10:05:08, Conakry, 9.6412, 13.5784, 19, 23, 31, 39, 62, 116, 278.4, 15, 517, 325, 779, 33.8°
2018-06-10 12:05:13, Nairobi, -1.2921, 36.8219, 15, 18, 24, 30, 49, 91, 257.8, 34, 164, 520, 668, 64.9°
2018-06-10 10:05:17, Oran, 35.6971, -0.6308, 32, 38, 51, 64, 102, 191, 327.5, 15, 543, 284, 714, 49.9°
2018-06-10 11:05:21, Valencia, 39.4699, -0.3763, 30, 36, 49, 61, 97, 182, 315.3, 49, 31, 401, 426, 49.6°
2018-06-10 11:05:30, Bordeaux, 44.8378, -0.5792, 33, 39, 53, 66, 105, 197, 326.9, 21, 388, 341, 640, 48.2°
2018-06-10 11:05:36, Paris, 48.8566, 2.3522, 35, 41, 55, 69, 111, 207, 340.8, 45, 49, 399, 436, 48.7°
2018-06-10 10:05:42, London, 51.8074, -0.1278, 42, 51, 68, 85, 136, 255, 364.1, 37, 105, 411, 490, 46.2°
2018-06-10 10:05:47, Tunis, 33.8869, 9.5375, 23, 27, 36, 45, 72, 135, 315.2, 4, 904, 142, 929, 58.4°
2018-06-10 11:05:53, Vatican, 41.9029, 12.4534, 27, 33, 44, 55, 88, 164, 370.9, 1, 897, 143, 922, 58.1°
2018-06-10 11:05:59, Venice, 45.4408, 12.3155, 26, 31, 42, 52, 84, 157, 339.3, 4, 885, 143, 895, 56.4°
2018-06-10 11:06:08, Milan, 45.4642, 9.1901, 29, 35, 47, 58, 93, 175, 353.5, 1, 863, 148, 867, 54.5°
2018-06-10 11:06:14, Hamburg, 53.5511, 9.9937, 31, 37, 49, 62, 99, 185, 329.8, 78, 1, 184, 184, 50.5°
2018-06-10 11:06:20, Tirana, 41.3275, 19.8187, 22, 26, 35, 44, 71, 132, 343.9, 3, 846, 173, 939, 63.2°
2018-06-10 11:06:25, Belgrade, 44.7866, 20.4489, 22, 26, 35, 44, 70, 131, 328.3, 22, 369, 412, 741, 61.4°
2018-06-10 11:06:29, Budapest, 47.4979, 19.0402, 24, 28, 38, 47, 76, 142, 327.7, 34, 130, 489, 603, 58.9°
2018-06-10 11:06:35, Warsaw, 52.2297, 21.0122, 26, 31, 42, 52, 83, 156, 338.5, 10, 897, 139, 890, 56.2°
2018-06-10 11:06:40, Alexandria, 31.2001, 29.9187, 15, 17, 23, 29, 47, 87, 289.1, 2, 864, 182, 1023, 75.7°
2018-06-10 12:06:44, Istanbul, 41.0082, 28.9784, 18, 21, 29, 36, 57, 107, 313.3, 2, 863, 174, 981, 68.5°
2018-06-10 12:06:49, Odesa, 46.4825, 30.7233, 22, 26, 35, 44, 70, 131, 346.1, 2, 900, 151, 964, 64.5°
2018-06-10 12:06:53, Kiev, 50.4501, 30.5234, 24, 28, 38, 47, 75, 141, 341.1, 8, 918, 140, 942, 60.9°
2018-06-10 12:06:56, St.Peterburg, 59.9343, 30.3351, 35, 42, 56, 71, 113, 212, 381.2, 22, 378, 356, 654, 52.0°
