Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI, DHI, GHI, Sun Altitude (Degree)
2018-06-06 12:18:49, Herzliya, 32.1592, 34.8071, 17, 20, 27, 34, 55, 102, 341.9, 0, 926, 159, 1063, 79.5°
2018-06-06 10:18:55, Dakar, 14.7167, 17.4677, 16, 19, 25, 31, 50, 94, 278, 0, 933, 144, 1001, 35.4°
2018-06-06 10:18:57, Conakry, 9.6412, 13.5784, 18, 21, 28, 35, 56, 105, 273.8, 3, 903, 144, 933, 37.1°
2018-06-06 12:19:00, Nairobi, -1.2921, 36.8219, 14, 17, 22, 28, 44, 83, 242.9, 39, 100, 532, 623, 65.9°
2018-06-06 10:19:03, Oran, 35.6971, -0.6308, 29, 34, 46, 57, 92, 172, 329, 5, 812, 165, 810, 52.6°
2018-06-06 11:19:06, Valencia, 39.4699, -0.3763, 30, 36, 48, 60, 96, 181, 333.3, 6, 780, 179, 789, 52.1°
2018-06-06 11:19:09, Bordeaux, 44.8378, -0.5792, 31, 38, 50, 63, 101, 189, 335, 59, 8, 320, 326, 50.3°
2018-06-06 11:19:11, Paris, 48.8566, 2.3522, 32, 38, 51, 64, 102, 192, 340.5, 55, 16, 349, 361, 50.5°
2018-06-06 10:19:14, London, 51.8074, -0.1278, 36, 43, 57, 72, 114, 215, 338.4, 3, 902, 120, 788, 47.9°
2018-06-06 10:19:18, Tunis, 33.8869, 9.5375, 22, 26, 35, 44, 70, 131, 327.8, 14, 898, 145, 926, 60.8°
2018-06-06 11:19:21, Vatican, 41.9029, 12.4534, 24, 28, 38, 47, 76, 142, 344.7, 18, 906, 141, 922, 60.2°
2018-06-06 11:19:24, Venice, 45.4408, 12.3155, 27, 32, 43, 54, 86, 161, 355.5, 7, 890, 141, 894, 58.1°
2018-06-06 11:19:27, Milan, 45.4642, 9.1901, 27, 32, 42, 53, 85, 159, 344.6, 27, 270, 417, 642, 56.3°
2018-06-06 11:19:30, Hamburg, 53.5511, 9.9937, 29, 35, 47, 59, 94, 177, 327.8, 4, 899, 128, 831, 51.8°
2018-06-06 11:19:33, Tirana, 41.3275, 19.8187, 21, 25, 33, 42, 67, 126, 335.6, 3, 834, 180, 934, 64.9°
2018-06-06 11:19:36, Belgrade, 44.7866, 20.4489, 25, 29, 39, 49, 78, 147, 368.5, 4, 908, 145, 950, 62.8°
2018-06-06 11:19:39, Budapest, 47.4979, 19.0402, 24, 29, 39, 49, 78, 146, 351.4, 8, 711, 227, 843, 60.2°
2018-06-06 11:19:42, Warsaw, 52.2297, 21.0122, 25, 30, 40, 50, 79, 149, 333.1, 1, 918, 134, 903, 57.1°
2018-06-06 11:19:46, Alexandria, 31.2001, 29.9187, 17, 20, 27, 33, 53, 100, 328.3, 0, 928, 157, 1059, 77.8°
2018-06-06 12:19:49, Istanbul, 41.0082, 28.9784, 20, 24, 32, 40, 63, 119, 346.5, 6, 908, 154, 1002, 69.6°
2018-06-06 12:19:52, Odesa, 46.4825, 30.7233, 21, 25, 34, 42, 67, 126, 342.1, 5, 787, 202, 913, 65.1°
2018-06-06 12:19:57, Kiev, 50.4501, 30.5234, 22, 27, 36, 45, 72, 135, 335.2, 16, 546, 319, 798, 61.3°
2018-06-06 12:20:00, St.Peterburg, 59.9343, 30.3351, 36, 43, 58, 72, 116, 217, 401.7, 35, 166, 411, 542, 52.2°
