Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-18 10:01:41, Herzliya, 32.1592, 34.8071, 24, 29, 39, 48, 77, 145, 6.8983, 293, 1, 864, 147, 875, 53.8°
2018-06-18 08:01:45, Dakar, 14.7167, 17.4677, 53, 63, 84, 106, 169, 317, 3.1585, 279.1, 6, 703, 153, 594, 3.9°
2018-06-18 08:01:47, Conakry, 9.6412, 13.5784, 71, 85, 113, 141, 226, 423, 2.364, 268.8, 18, 382, 231, 437, 5.2°
2018-06-18 10:01:49, Nairobi, -1.2921, 36.8219, 27, 33, 44, 55, 88, 164, 6.0844, 251.3, 75, 1, 200, 201, 45.6°
2018-06-18 08:01:52, Oran, 35.6971, -0.6308, 141, 169, 226, 282, 451, 846, 1.182, 322.3, 8, 778, 92, 461, 24.8°
2018-06-18 09:01:55, Valencia, 39.4699, -0.3763, 129, 155, 207, 259, 414, 776, 1.2886, 325, 0, 809, 88, 476, 25.7°
2018-06-18 09:01:57, Bordeaux, 44.8378, -0.5792, 128, 154, 205, 257, 411, 770, 1.2983, 348.4, 63, 7, 172, 176, 26.4°
2018-06-18 09:02:00, Paris, 48.8566, 2.3522, 107, 128, 171, 214, 342, 641, 1.5599, 340.1, 52, 20, 236, 247, 28.8°
2018-06-18 08:02:02, London, 51.8074, -0.1278, 118, 141, 189, 236, 377, 707, 1.4145, 347.2, 50, 30, 232, 248, 27.4°
2018-06-18 08:02:05, Tunis, 33.8869, 9.5375, 75, 90, 120, 150, 240, 451, 2.2187, 321.6, 0, 807, 109, 579, 33.6°
2018-06-18 09:02:08, Vatican, 41.9029, 12.4534, 65, 78, 103, 129, 207, 388, 2.5772, 334.7, 2, 833, 111, 633, 35.7°
2018-06-18 09:02:10, Venice, 45.4408, 12.3155, 67, 81, 108, 134, 215, 403, 2.4803, 346.6, 65, 4, 214, 216, 35.6°
2018-06-18 09:02:12, Milan, 45.4642, 9.1901, 78, 93, 125, 156, 249, 467, 2.1412, 353.8, 3, 820, 106, 590, 33.4°
2018-06-18 09:02:17, Hamburg, 53.5511, 9.9937, 75, 91, 121, 151, 241, 453, 2.209, 342.3, 29, 182, 302, 411, 33.6°
2018-06-18 09:02:20, Tirana, 41.3275, 19.8187, 47, 57, 75, 94, 151, 283, 3.5363, 338.2, 2, 801, 138, 696, 41.2°
2018-06-18 09:02:23, Belgrade, 44.7866, 20.4489, 47, 56, 75, 93, 149, 280, 3.5751, 335.2, 11, 589, 219, 631, 41.4°
2018-06-18 09:02:25, Budapest, 47.4979, 19.0402, 54, 65, 86, 108, 172, 323, 3.1004, 347, 25, 278, 332, 519, 40.0°
2018-06-18 09:02:27, Warsaw, 52.2297, 21.0122, 50, 60, 80, 99, 159, 298, 3.3523, 339.8, 7, 689, 174, 643, 40.3°
2018-06-18 09:02:30, Alexandria, 31.2001, 29.9187, 27, 33, 44, 55, 88, 164, 6.0941, 288.4, 1, 860, 139, 825, 49.8°
2018-06-18 10:02:33, Istanbul, 41.0082, 28.9784, 32, 38, 51, 64, 102, 191, 5.2415, 316.2, 16, 494, 293, 679, 48.1°
2018-06-18 10:02:36, Odesa, 46.4825, 30.7233, 33, 39, 52, 65, 105, 196, 5.0962, 313.2, 5, 771, 169, 765, 48.0°
2018-06-18 10:02:38, Kiev, 50.4501, 30.5234, 37, 44, 59, 74, 118, 222, 4.5052, 335.5, 16, 848, 134, 773, 46.6°
2018-06-18 10:02:41, St.Peterburg, 59.9343, 30.3351, 46, 55, 74, 92, 148, 277, 3.6042, 347.7, 4, 738, 159, 676, 42.3°
