Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 13:03:07, Herzliya, 32.1592, 34.8071, 14, 17, 23, 29, 46, 87, 11.5436, 299.3, 0, ['0', '%'], 904, 162, 1044, 80.23
2018-06-22 11:03:11, Dakar, 14.7167, 17.4677, 14, 17, 22, 28, 45, 84, 11.8826, 280, 18, ['0', '%'], 901, 161, 1039, 75.45
2018-06-22 11:03:17, Conakry, 9.6412, 13.5784, 15, 18, 24, 30, 48, 90, 11.1563, 274.8, 24, ['32', '%'], 332, 458, 771, 69.25
2018-06-22 13:03:20, Nairobi, -1.2921, 36.8219, 15, 18, 24, 30, 48, 91, 11.0013, 256.2, 10, ['0', '%'], 757, 223, 894, 64.34
2018-06-22 11:03:24, Oran, 35.6971, -0.6308, 22, 26, 35, 44, 70, 131, 7.6603, 326.5, 2, ['0', '%'], 905, 145, 959, 61.02
2018-06-22 12:03:27, Valencia, 39.4699, -0.3763, 22, 27, 36, 45, 72, 135, 7.4085, 321.7, 0, ['0', '%'], 921, 138, 955, 59.93
2018-06-22 12:03:31, Bordeaux, 44.8378, -0.5792, 24, 28, 38, 47, 76, 142, 7.0308, 320, 0, ['0', '%'], 921, 133, 930, 57.36
2018-06-22 12:03:34, Paris, 48.8566, 2.3522, 25, 30, 40, 50, 79, 149, 6.7306, 324.8, 6, ['0', '%'], 909, 135, 912, 56.68
2018-06-22 11:03:38, London, 51.8074, -0.1278, 28, 33, 44, 55, 88, 165, 6.043, 327.9, 0, None, 922, 126, 885, 53.58
2018-06-22 11:03:41, Tunis, 33.8869, 9.5375, 20, 24, 32, 40, 65, 121, 8.2316, 352.3, 2, ['0', '%'], 897, 156, 1009, 69.51
2018-06-22 12:03:44, Vatican, 41.9029, 12.4534, 20, 24, 33, 41, 65, 122, 8.1832, 338.5, 25, ['0', '%'], 290, 470, 739, 66.62
2018-06-22 12:03:47, Venice, 45.4408, 12.3155, 21, 25, 33, 41, 66, 124, 8.0476, 325.3, 57, ['95', '%'], 10, 402, 411, 63.88
2018-06-22 12:03:51, Milan, 45.4642, 9.1901, 21, 25, 33, 42, 67, 125, 7.9895, 321.9, 11, ['29', '%'], 906, 144, 961, 62.43
2018-06-22 12:03:55, Hamburg, 53.5511, 9.9937, 33, 40, 53, 66, 106, 199, 5.0165, 415, 15, ['80', '%'], 567, 290, 767, 56.44
2018-06-22 12:03:58, Tirana, 41.3275, 19.8187, 18, 22, 29, 36, 58, 109, 9.1613, 327.9, 7, ['0', '%'], 904, 155, 1008, 70.32
2018-06-22 12:04:01, Belgrade, 44.7866, 20.4489, 18, 22, 29, 37, 59, 110, 9.0548, 316.7, 66, ['95', '%'], 3, 331, 334, 67.38
2018-06-22 12:04:05, Budapest, 47.4979, 19.0402, 20, 24, 31, 39, 63, 118, 8.4834, 317.7, 76, ['47', '%'], 1, 233, 234, 64.5
2018-06-22 12:04:08, Warsaw, 52.2297, 21.0122, 22, 26, 35, 44, 71, 132, 7.5537, 323.1, 25, ['0', '%'], 317, 415, 693, 60.47
2018-06-22 12:04:12, Alexandria, 31.2001, 29.9187, 15, 18, 23, 29, 47, 88, 11.4274, 305, 1, ['0', '%'], 903, 164, 1054, 82.23
2018-06-22 13:04:15, Istanbul, 41.0082, 28.9784, 18, 22, 29, 36, 58, 109, 9.142, 336.8, 13, ['0', '%'], 604, 310, 882, 72.42
2018-06-22 13:04:18, Odesa, 46.4825, 30.7233, 18, 22, 29, 37, 59, 110, 9.0935, 310.2, 28, ['0', '%'], 214, 493, 689, 66.94
2018-06-22 13:04:22, Kiev, 50.4501, 30.5234, 20, 24, 31, 39, 63, 118, 8.5028, 305.5, 9, ['63', '%'], 678, 245, 847, 62.98
2018-06-22 13:04:26, St.Peterburg, 59.9343, 30.3351, 30, 36, 48, 60, 96, 180, 5.5588, 351.7, 35, ['95', '%'], 122, 443, 541, 53.5
