Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-19 16:22:11, Herzliya, 32.1592, 34.8071, 40, 48, 64, 80, 128, 240, 4.1753, 293, 3, 827, 124, 678, 41.17
2018-06-19 14:22:15, Dakar, 14.7167, 17.4677, 23, 27, 36, 46, 73, 137, 7.3237, 279.1, 19, 868, 142, 852, 53.55
2018-06-19 14:22:17, Conakry, 9.6412, 13.5784, 20, 24, 32, 41, 65, 122, 8.2052, 268.8, 53, 19, 397, 413, 55.01
2018-06-19 16:22:19, Nairobi, -1.2921, 36.8219, 71, 85, 113, 141, 226, 423, 2.3637, 251.3, 27, 251, 251, 382, 29.44
2018-06-19 14:22:21, Oran, 35.6971, -0.6308, 16, 20, 26, 33, 52, 98, 10.1621, 296.3, 0, 907, 156, 1002, 69.13
2018-06-19 15:22:24, Valencia, 39.4699, -0.3763, 17, 21, 28, 35, 55, 104, 9.6196, 296.3, 0, 921, 146, 992, 66.83
2018-06-19 15:22:26, Bordeaux, 44.8378, -0.5792, 18, 22, 30, 37, 59, 111, 9.019, 296.3, 10, 669, 258, 854, 63.3
2018-06-19 15:22:28, Paris, 48.8566, 2.3522, 25, 30, 40, 50, 79, 149, 6.7327, 340.1, 21, 392, 383, 718, 58.99
2018-06-19 14:22:31, London, 51.8074, -0.1278, 26, 31, 42, 52, 84, 157, 6.384, 347.2, 32, 197, 451, 617, 57.72
2018-06-19 14:22:32, Tunis, 33.8869, 9.5375, 21, 25, 33, 42, 67, 125, 7.9921, 321.6, 2, 903, 145, 946, 62.03
2018-06-19 15:22:35, Vatican, 41.9029, 12.4534, 25, 30, 40, 50, 80, 150, 6.6843, 334.7, 24, 321, 404, 674, 57.21
2018-06-19 15:22:38, Venice, 45.4408, 12.3155, 28, 33, 44, 55, 88, 166, 6.0352, 346.6, 2, 886, 139, 870, 55.7
2018-06-19 15:22:41, Milan, 45.4642, 9.1901, 27, 32, 43, 53, 85, 160, 6.258, 353.8, 1, 868, 150, 878, 57.57
2018-06-19 15:22:42, Hamburg, 53.5511, 9.9937, 30, 36, 48, 60, 96, 180, 5.5412, 342.3, 65, 4, 285, 289, 52.27
2018-06-19 15:22:45, Tirana, 41.3275, 19.8187, 30, 36, 47, 59, 95, 178, 5.6187, 338.2, 72, 2, 223, 225, 52.18
2018-06-19 15:22:48, Belgrade, 44.7866, 20.4489, 27, 33, 44, 54, 87, 163, 6.1224, 296.3, 6, 718, 194, 752, 50.7
2018-06-19 15:22:50, Budapest, 47.4979, 19.0402, 27, 33, 44, 54, 87, 163, 6.1224, 296.3, 32, 161, 425, 550, 50.61
2018-06-19 15:22:54, Warsaw, 52.2297, 21.0122, 36, 43, 57, 72, 115, 216, 4.6403, 339.8, 57, 11, 315, 323, 47.44
2018-06-19 15:22:56, Alexandria, 31.2001, 29.9187, 33, 40, 53, 67, 107, 200, 4.9987, 296.3, 1, 825, 137, 734, 45.1
2018-06-19 16:22:58, Istanbul, 41.0082, 28.9784, 36, 43, 58, 72, 115, 216, 4.6209, 316.2, 54, 15, 325, 337, 45.46
2018-06-19 16:23:02, Odesa, 46.4825, 30.7233, 39, 47, 63, 78, 125, 235, 4.2624, 313.2, 2, 865, 118, 709, 43.29
2018-06-19 16:23:05, Kiev, 50.4501, 30.5234, 44, 53, 71, 89, 142, 267, 3.749, 335.5, 34, 124, 369, 454, 42.5
2018-06-19 16:23:07, St.Peterburg, 59.9343, 30.3351, 54, 65, 86, 108, 172, 323, 3.1, 347.7, 64, 5, 229, 232, 39.46
