Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-12 11:02:13, Herzliya, 32.1592, 34.8071, 18, 21, 29, 36, 57, 107, 304.4, 12, 595, 310, 868, 66.5°
2018-06-12 09:02:17, Dakar, 14.7167, 17.4677, 26, 31, 41, 52, 83, 155, 275.7, 1, 889, 131, 841, 17.7°
2018-06-12 09:02:21, Conakry, 9.6412, 13.5784, 32, 38, 51, 64, 102, 192, 275.5, 35, 130, 396, 490, 19.3°
2018-06-12 11:02:25, Nairobi, -1.2921, 36.8219, 17, 20, 27, 34, 54, 101, 242.8, 21, 454, 369, 757, 57.2°
2018-06-12 09:02:28, Oran, 35.6971, -0.6308, 58, 69, 93, 116, 185, 347, 319.4, 0, 861, 111, 670, 37.1°
2018-06-12 10:02:31, Valencia, 39.4699, -0.3763, 58, 69, 92, 115, 185, 346, 335.9, 2, 875, 107, 675, 37.5°
2018-06-12 10:02:35, Bordeaux, 44.8378, -0.5792, 63, 75, 100, 125, 201, 376, 361.9, 51, 23, 304, 319, 37.2°
2018-06-12 10:02:38, Paris, 48.8566, 2.3522, 54, 65, 87, 108, 173, 325, 334, 77, 1, 151, 152, 38.8°
2018-06-12 09:02:41, London, 51.8074, -0.1278, 64, 77, 103, 128, 205, 385, 350.9, 53, 20, 297, 310, 36.8°
2018-06-12 09:02:44, Tunis, 33.8869, 9.5375, 34, 41, 55, 68, 109, 205, 302.5, 0, 866, 127, 776, 45.9°
2018-06-12 10:02:47, Vatican, 41.9029, 12.4534, 34, 41, 55, 69, 110, 206, 315.8, 8, 687, 204, 729, 47.0°
2018-06-12 10:02:50, Venice, 45.4408, 12.3155, 35, 42, 56, 69, 111, 208, 318, 22, 339, 349, 605, 46.1°
2018-06-12 10:02:52, Milan, 45.4642, 9.1901, 40, 48, 64, 80, 129, 241, 321.5, 13, 587, 232, 658, 44.0°
2018-06-12 10:02:55, Hamburg, 53.5511, 9.9937, 45, 54, 72, 90, 144, 269, 338.1, 61, 8, 281, 287, 42.3°
2018-06-12 10:02:58, Tirana, 41.3275, 19.8187, 28, 34, 45, 57, 90, 170, 325, 0, 894, 135, 869, 52.5°
2018-06-12 10:03:01, Belgrade, 44.7866, 20.4489, 29, 35, 47, 59, 94, 177, 327.6, 3, 886, 135, 855, 51.8°
2018-06-12 10:03:05, Budapest, 47.4979, 19.0402, 32, 39, 51, 64, 103, 193, 330.2, 10, 877, 133, 828, 49.9°
2018-06-12 10:03:07, Warsaw, 52.2297, 21.0122, 35, 42, 56, 70, 112, 210, 343.9, 52, 20, 374, 390, 48.9°
2018-06-12 10:03:10, Alexandria, 31.2001, 29.9187, 20, 24, 31, 39, 63, 118, 306.7, 2, 852, 170, 945, 62.9°
2018-06-12 11:03:13, Istanbul, 41.0082, 28.9784, 25, 30, 40, 50, 79, 149, 341.1, 1, 918, 140, 946, 59.1°
2018-06-12 11:03:16, Odesa, 46.4825, 30.7233, 25, 31, 41, 51, 81, 153, 340.8, 6, 744, 205, 848, 57.4°
2018-06-12 11:03:20, Kiev, 50.4501, 30.5234, 29, 35, 47, 58, 93, 174, 352.4, 17, 490, 322, 731, 54.8°
2018-06-12 11:03:23, St.Peterburg, 59.9343, 30.3351, 35, 41, 55, 69, 111, 207, 340.9, 43, 60, 407, 453, 48.1°
