Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 17:04:34, Herzliya, 32.1592, 34.8071, 69, 83, 111, 139, 222, 416, 2.4017, 299.3, 6, ['0', '%'], 726, 109, 467, 32.41
2018-06-22 15:04:38, Dakar, 14.7167, 17.4677, 33, 39, 52, 65, 105, 196, 5.0939, 280, 21, ['0', '%'], 818, 125, 662, 44.01
2018-06-22 15:04:42, Conakry, 9.6412, 13.5784, 30, 37, 49, 61, 97, 183, 5.4716, 274.8, 29, ['68', '%'], 189, 363, 493, 45.71
2018-06-22 17:04:45, Nairobi, -1.2921, 36.8219, 164, 197, 262, 328, 524, 983, 1.0168, 256.2, 31, ['0', '%'], 122, 154, 191, 20.11
2018-06-22 15:04:49, Oran, 35.6971, -0.6308, 22, 26, 35, 44, 70, 131, 7.6603, 326.5, 4, ['0', '%'], 807, 177, 864, 61.37
2018-06-22 16:04:52, Valencia, 39.4699, -0.3763, 22, 27, 36, 45, 72, 135, 7.4085, 321.7, 1, ['0', '%'], 904, 136, 893, 59.87
2018-06-22 16:04:55, Bordeaux, 44.8378, -0.5792, 24, 28, 38, 47, 76, 142, 7.0308, 320, 0, ['0', '%'], 913, 129, 875, 57.54
2018-06-22 16:05:00, Paris, 48.8566, 2.3522, 27, 33, 44, 55, 87, 164, 6.1108, 324.8, 9, ['0', '%'], 689, 211, 747, 53.7
2018-06-22 15:05:03, London, 51.8074, -0.1278, 28, 33, 44, 55, 88, 165, 6.043, 327.9, 0, None, 916, 122, 833, 53.26
2018-06-22 15:05:06, Tunis, 33.8869, 9.5375, 30, 36, 48, 60, 96, 181, 5.5394, 352.3, 3, ['0', '%'], 872, 133, 806, 53.47
2018-06-22 16:05:09, Vatican, 41.9029, 12.4534, 33, 40, 53, 66, 106, 199, 5.0358, 338.5, 9, ['0', '%'], 650, 208, 682, 49.83
2018-06-22 16:05:13, Venice, 45.4408, 12.3155, 33, 39, 53, 66, 105, 197, 5.0746, 325.3, 25, ['98', '%'], 271, 361, 556, 48.96
2018-06-22 16:05:16, Milan, 45.4642, 9.1901, 29, 35, 46, 58, 92, 173, 5.7718, 321.9, 3, ['0', '%'], 811, 151, 754, 51.02
2018-06-22 16:05:19, Hamburg, 53.5511, 9.9937, 45, 54, 73, 91, 145, 272, 3.6703, 415, 56, ['0', '%'], 12, 307, 315, 47.16
2018-06-22 16:05:22, Tirana, 41.3275, 19.8187, 39, 47, 63, 79, 126, 236, 4.2417, 327.9, 44, ['98', '%'], 77, 322, 373, 44.47
2018-06-22 16:05:26, Belgrade, 44.7866, 20.4489, 40, 47, 63, 79, 127, 237, 4.2127, 316.7, 80, ['98', '%'], 27, 129, 129, 43.5
2018-06-22 16:05:29, Budapest, 47.4979, 19.0402, 40, 48, 63, 79, 127, 238, 4.203, 317.7, 59, ['0', '%'], 8, 272, 278, 43.9
2018-06-22 16:05:33, Warsaw, 52.2297, 21.0122, 45, 54, 72, 89, 143, 268, 3.7284, 323.1, 19, ['0', '%'], 398, 270, 519, 41.46
2018-06-22 16:05:37, Alexandria, 31.2001, 29.9187, 55, 66, 88, 110, 176, 330, 3.0312, 305, 5, ['0', '%'], 779, 112, 543, 36.17
2018-06-22 17:05:43, Istanbul, 41.0082, 28.9784, 58, 70, 93, 116, 185, 348, 2.8762, 336.8, 2, ['0', '%'], 723, 131, 545, 37.55
2018-06-22 17:05:46, Odesa, 46.4825, 30.7233, 56, 67, 90, 112, 179, 336, 2.9731, 310.2, 10, ['0', '%'], 556, 177, 485, 36.12
2018-06-22 17:05:49, Kiev, 50.4501, 30.5234, 58, 70, 93, 117, 187, 350, 2.8569, 305.5, 84, ['98', '%'], 20, 85, 85, 35.93
2018-06-22 17:05:53, St.Peterburg, 59.9343, 30.3351, 73, 87, 116, 145, 232, 436, 2.2952, 351.7, 27, ['0', '%'], 208, 273, 384, 34.46
