Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-20 10:38:29, Herzliya, 32.1592, 34.8071, 20, 24, 32, 40, 64, 119, 8.3689, 303.2, 0, 898, 146, 948, 61.28
2018-06-20 08:38:32, Dakar, 14.7167, 17.4677, 34, 41, 54, 68, 108, 203, 4.9206, 277.3, 1, 818, 135, 717, 43.65
2018-06-20 08:38:34, Conakry, 9.6412, 13.5784, 47, 57, 76, 95, 151, 284, 3.5258, 296.3, 30, 174, 339, 451, 38.32
2018-06-20 10:38:36, Nairobi, -1.2921, 36.8219, 25, 30, 40, 51, 81, 152, 6.5866, 296.3, 32, 188, 451, 603, 52.47
2018-06-20 08:38:38, Oran, 35.6971, -0.6308, 78, 93, 125, 156, 249, 467, 2.1407, 312.5, 0, 817, 102, 563, 31.97
2018-06-20 09:38:40, Valencia, 39.4699, -0.3763, 69, 82, 110, 137, 219, 411, 2.4312, 296.3, 0, 841, 98, 574, 32.58
2018-06-20 09:38:42, Bordeaux, 44.8378, -0.5792, 69, 82, 110, 137, 219, 411, 2.4312, 296.3, 2, 825, 101, 568, 32.74
2018-06-20 09:38:44, Paris, 48.8566, 2.3522, 66, 80, 106, 133, 213, 399, 2.5087, 323.5, 3, 832, 105, 600, 34.69
2018-06-20 08:38:46, London, 51.8074, -0.1278, 78, 93, 124, 155, 248, 465, 2.1503, 330, 49, 27, 274, 289, 32.95
2018-06-20 08:38:49, Tunis, 33.8869, 9.5375, 51, 61, 82, 102, 164, 307, 3.2546, 348.3, 3, 765, 141, 654, 40.15
2018-06-20 09:38:51, Vatican, 41.9029, 12.4534, 44, 53, 71, 88, 142, 265, 3.768, 334.4, 7, 704, 174, 663, 42.33
2018-06-20 09:38:54, Venice, 45.4408, 12.3155, 45, 54, 72, 89, 143, 268, 3.7292, 323.1, 1, 836, 123, 698, 41.81
2018-06-20 09:38:56, Milan, 45.4642, 9.1901, 49, 59, 78, 98, 156, 293, 3.4096, 319.6, 36, 117, 349, 428, 39.64
2018-06-20 09:38:58, Hamburg, 53.5511, 9.9937, 48, 58, 78, 97, 155, 291, 3.4386, 302.4, 3, 761, 138, 633, 38.79
2018-06-20 09:39:00, Tirana, 41.3275, 19.8187, 35, 42, 56, 70, 112, 210, 4.7559, 332.8, 6, 748, 175, 747, 47.89
2018-06-20 09:39:02, Belgrade, 44.7866, 20.4489, 35, 42, 56, 70, 111, 209, 4.785, 330.8, 4, 871, 127, 789, 47.58
2018-06-20 09:39:04, Budapest, 47.4979, 19.0402, 37, 45, 60, 75, 120, 225, 4.446, 327.4, 7, 729, 176, 714, 45.92
2018-06-20 09:39:06, Warsaw, 52.2297, 21.0122, 33, 40, 53, 67, 107, 200, 4.9981, 296.3, 3, 865, 124, 756, 45.54
2018-06-20 09:39:09, Alexandria, 31.2001, 29.9187, 22, 26, 34, 43, 69, 129, 7.7296, 296.3, 1, 861, 152, 892, 57.41
2018-06-20 10:39:11, Istanbul, 41.0082, 28.9784, 24, 28, 38, 47, 76, 142, 7.0419, 296.3, 10, 660, 236, 785, 54.67
2018-06-20 10:39:13, Odesa, 46.4825, 30.7233, 27, 33, 43, 54, 87, 163, 6.1411, 323.1, 2, 878, 137, 860, 53.71
2018-06-20 10:39:14, Kiev, 50.4501, 30.5234, 28, 34, 45, 57, 91, 170, 5.8796, 316, 6, 883, 132, 836, 51.65
2018-06-20 10:39:16, St.Peterburg, 59.9343, 30.3351, 37, 45, 60, 75, 120, 224, 4.4557, 326.9, 8, 686, 194, 698, 45.98
