Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-20 16:15:56, Herzliya, 32.1592, 34.8071, 40, 47, 63, 79, 127, 237, 4.2135, 303.2, 3, 827, 124, 678, 42.54
2018-06-20 14:15:59, Dakar, 14.7167, 17.4677, 21, 25, 34, 42, 68, 127, 7.8846, 277.3, 7, 693, 217, 783, 55.03
2018-06-20 14:16:04, Conakry, 9.6412, 13.5784, 22, 27, 36, 44, 71, 133, 7.4972, 296.3, 4, 799, 174, 840, 56.41
2018-06-20 16:16:10, Nairobi, -1.2921, 36.8219, 79, 95, 126, 158, 253, 474, 2.1116, 296.3, 21, 358, 231, 414, 30.84
2018-06-20 14:16:13, Oran, 35.6971, -0.6308, 17, 21, 28, 34, 55, 103, 9.6959, 312.5, 0, 914, 151, 1005, 70.23
2018-06-20 15:16:15, Valencia, 39.4699, -0.3763, 17, 20, 27, 34, 54, 102, 9.8025, 296.3, 1, 926, 145, 995, 67.76
2018-06-20 15:16:27, Bordeaux, 44.8378, -0.5792, 18, 22, 29, 36, 58, 108, 9.2213, 296.3, 3, 908, 144, 953, 64.04
2018-06-20 15:16:29, Paris, 48.8566, 2.3522, 23, 27, 36, 45, 73, 136, 7.3519, 323.5, 4, 898, 140, 909, 59.68
2018-06-20 14:16:32, London, 51.8074, -0.1278, 24, 29, 38, 48, 76, 143, 6.9741, 330, 29, 247, 434, 642, 58.27
2018-06-20 14:16:34, Tunis, 33.8869, 9.5375, 22, 27, 36, 45, 72, 135, 7.4197, 348.3, 2, 900, 146, 944, 63.28
2018-06-20 15:16:36, Vatican, 41.9029, 12.4534, 24, 29, 39, 48, 78, 145, 6.8772, 334.4, 14, 882, 143, 882, 58.26
2018-06-20 15:16:38, Venice, 45.4408, 12.3155, 25, 30, 39, 49, 79, 148, 6.7513, 323.1, 1, 839, 156, 849, 56.66
2018-06-20 15:16:40, Milan, 45.4642, 9.1901, 23, 28, 37, 46, 73, 138, 7.2647, 319.6, 2, 827, 166, 865, 58.49
2018-06-20 15:16:42, Hamburg, 53.5511, 9.9937, 26, 31, 41, 52, 83, 155, 6.4317, 302.4, 30, 199, 425, 583, 52.97
2018-06-20 15:16:45, Tirana, 41.3275, 19.8187, 28, 34, 45, 56, 90, 168, 5.9377, 332.8, 39, 86, 431, 500, 53.31
2018-06-20 15:16:47, Belgrade, 44.7866, 20.4489, 30, 36, 48, 60, 96, 179, 5.5793, 330.8, 5, 766, 174, 769, 51.75
2018-06-20 15:16:50, Budapest, 47.4979, 19.0402, 30, 35, 47, 59, 94, 177, 5.6471, 327.4, 23, 305, 378, 614, 51.58
2018-06-20 15:16:53, Warsaw, 52.2297, 21.0122, 29, 35, 47, 59, 94, 176, 5.6665, 296.3, 17, 491, 283, 642, 48.3
2018-06-20 15:16:56, Alexandria, 31.2001, 29.9187, 32, 38, 51, 64, 102, 192, 5.2209, 296.3, 2, 849, 129, 744, 46.44
2018-06-20 16:16:58, Istanbul, 41.0082, 28.9784, 32, 38, 51, 64, 102, 192, 5.2209, 296.3, 10, 611, 221, 660, 46.62
2018-06-20 16:17:00, Odesa, 46.4825, 30.7233, 39, 47, 62, 78, 124, 233, 4.3007, 323.1, 28, 226, 353, 507, 44.35
2018-06-20 16:17:02, Kiev, 50.4501, 30.5234, 40, 47, 63, 79, 127, 237, 4.2135, 316, 7, 698, 173, 645, 43.47
2018-06-20 16:17:03, St.Peterburg, 59.9343, 30.3351, 48, 57, 76, 95, 152, 285, 3.5064, 326.9, 1, 859, 110, 655, 40.18
