Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 16:04:08, Herzliya, 32.1592, 34.8071, 34, 40, 54, 67, 108, 202, 4.939, 299.3, 4, ['0', '%'], 824, 125, 676, 45.12
2018-06-22 14:04:13, Dakar, 14.7167, 17.4677, 20, 24, 32, 40, 65, 121, 8.2607, 280, 20, ['0', '%'], 868, 141, 851, 57.79
2018-06-22 14:04:16, Conakry, 9.6412, 13.5784, 19, 22, 30, 37, 59, 111, 8.9773, 274.8, 22, ['93', '%'], 352, 389, 680, 59.04
2018-06-22 16:04:19, Nairobi, -1.2921, 36.8219, 54, 65, 87, 109, 174, 326, 3.0699, 256.2, 27, ['0', '%'], 241, 262, 385, 33.52
2018-06-22 14:04:22, Oran, 35.6971, -0.6308, 18, 21, 28, 35, 56, 105, 9.4809, 326.5, 1, ['0', '%'], 913, 151, 1004, 72.24
2018-06-22 15:04:26, Valencia, 39.4699, -0.3763, 18, 22, 29, 36, 58, 109, 9.2001, 321.7, 0, ['0', '%'], 924, 145, 993, 69.49
2018-06-22 15:04:29, Bordeaux, 44.8378, -0.5792, 19, 23, 31, 39, 62, 117, 8.5706, 320, 0, ['0', '%'], 932, 138, 967, 65.38
2018-06-22 15:04:31, Paris, 48.8566, 2.3522, 22, 27, 35, 44, 71, 133, 7.5247, 324.8, 19, ['0', '%'], 439, 363, 738, 60.94
2018-06-22 14:04:35, London, 51.8074, -0.1278, 23, 28, 37, 46, 74, 138, 7.2438, 327.9, 0, None, 928, 130, 914, 59.26
2018-06-22 14:04:39, Tunis, 33.8869, 9.5375, 22, 26, 35, 44, 70, 131, 7.6409, 352.3, 2, ['0', '%'], 897, 147, 943, 65.73
2018-06-22 15:04:42, Vatican, 41.9029, 12.4534, 23, 28, 37, 47, 75, 140, 7.147, 338.5, 14, ['0', '%'], 570, 285, 764, 60.29
2018-06-22 15:04:46, Venice, 45.4408, 12.3155, 23, 28, 38, 47, 75, 141, 7.0986, 325.3, 18, ['94', '%'], 461, 334, 715, 58.47
2018-06-22 15:04:50, Milan, 45.4642, 9.1901, 22, 26, 35, 44, 70, 132, 7.6022, 321.9, 2, ['0', '%'], 863, 153, 882, 60.21
2018-06-22 15:04:53, Hamburg, 53.5511, 9.9937, 35, 42, 57, 71, 113, 212, 4.7162, 415, 35, ['24', '%'], 118, 446, 540, 54.25
2018-06-22 15:04:57, Tirana, 41.3275, 19.8187, 26, 31, 41, 52, 83, 155, 6.4497, 327.9, 27, ['63', '%'], 278, 381, 602, 55.49
2018-06-22 15:05:00, Belgrade, 44.7866, 20.4489, 26, 32, 42, 53, 85, 159, 6.2948, 316.7, 65, ['94', '%'], 5, 277, 281, 53.75
2018-06-22 15:05:04, Budapest, 47.4979, 19.0402, 27, 32, 42, 53, 85, 159, 6.2754, 317.7, 67, ['24', '%'], 3, 271, 274, 53.41
2018-06-22 15:05:08, Warsaw, 52.2297, 21.0122, 31, 38, 50, 63, 100, 188, 5.3167, 323.1, 26, ['0', '%'], 265, 375, 568, 49.92
2018-06-22 15:05:11, Alexandria, 31.2001, 29.9187, 29, 35, 47, 59, 94, 176, 5.6847, 305, 2, ['0', '%'], 846, 130, 741, 49.04
2018-06-22 16:05:15, Istanbul, 41.0082, 28.9784, 34, 41, 55, 68, 109, 205, 4.8809, 336.8, 5, ['0', '%'], 722, 175, 693, 48.88
2018-06-22 16:05:19, Odesa, 46.4825, 30.7233, 34, 40, 54, 67, 108, 202, 4.939, 310.2, 11, ['0', '%'], 571, 225, 622, 46.38
2018-06-22 16:05:27, Kiev, 50.4501, 30.5234, 35, 41, 55, 69, 111, 207, 4.8228, 305.5, 77, ['94', '%'], 1, 157, 157, 45.29
2018-06-22 16:05:30, St.Peterburg, 59.9343, 30.3351, 49, 59, 79, 98, 157, 295, 3.3895, 351.7, 21, ['94', '%'], 345, 291, 511, 41.53
