Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 09:06:17, Herzliya, 32.1592, 34.8071, 40, 48, 64, 80, 129, 241, 4.1445, 295.2, 0, ['0', '%'], 846, 121, 713, 41.69
2018-06-23 07:06:21, Dakar, 14.7167, 17.4677, 147, 177, 235, 294, 471, 883, 1.133, 281.7, 25, ['0', '%'], 194, 203, 283, 22.4
2018-06-23 07:06:25, Conakry, 9.6412, 13.5784, 242, 291, 388, 485, 776, 1454, 0.6875, 271.8, 3, ['97', '%'], 549, 96, 277, 17.06
2018-06-23 09:06:28, Nairobi, -1.2921, 36.8219, 53, 64, 85, 106, 169, 318, 3.1471, 251.4, 2, ['0', '%'], 834, 108, 597, 33.57
2018-06-23 07:06:32, Oran, 35.6971, -0.6308, 478, 574, 765, 956, 1530, 2869, 0.3486, 321.7, 28, ['0', '%'], 134, 134, 171, 13.68
2018-06-23 08:06:35, Valencia, 39.4699, -0.3763, 366, 439, 586, 732, 1172, 2197, 0.4551, 319, 9, ['0', '%'], 468, 100, 240, 15.09
2018-06-23 08:06:39, Bordeaux, 44.8378, -0.5792, 325, 390, 520, 649, 1039, 1948, 0.5132, 323.2, 0, ['0', '%'], 698, 70, 292, 16.57
2018-06-23 08:06:42, Paris, 48.8566, 2.3522, 229, 275, 367, 459, 734, 1377, 0.7263, 322.7, 3, ['0', '%'], 706, 79, 340, 19.57
2018-06-23 07:06:45, London, 51.8074, -0.1278, 257, 308, 411, 514, 822, 1541, 0.6488, 323.8, 1, None, 662, 84, 321, 18.75
2018-06-23 07:06:48, Tunis, 33.8869, 9.5375, 193, 232, 309, 387, 619, 1160, 0.8618, 336.6, 0, ['0', '%'], 648, 95, 354, 21.2
2018-06-23 08:06:51, Vatican, 41.9029, 12.4534, 123, 148, 197, 246, 393, 738, 1.3557, 308.2, 18, ['0', '%'], 372, 190, 359, 25.15
2018-06-23 08:06:55, Venice, 45.4408, 12.3155, 140, 168, 224, 280, 448, 840, 1.1911, 350.6, 10, ['0', '%'], 558, 144, 402, 25.62
2018-06-23 08:06:58, Milan, 45.4642, 9.1901, 156, 188, 250, 313, 501, 939, 1.0652, 328.7, 8, ['62', '%'], 579, 128, 378, 23.46
2018-06-23 08:07:02, Hamburg, 53.5511, 9.9937, 156, 188, 250, 313, 501, 939, 1.0652, 390.7, 46, ['97', '%'], 39, 215, 233, 25.13
2018-06-23 08:07:05, Tirana, 41.3275, 19.8187, 88, 106, 141, 177, 282, 530, 1.8883, 327.9, 74, ['97', '%'], 1, 135, 136, 30.58
2018-06-23 08:07:09, Belgrade, 44.7866, 20.4489, 79, 95, 126, 158, 253, 474, 2.111, 316.7, 8, ['0', '%'], 829, 97, 555, 31.31
2018-06-23 08:07:12, Budapest, 47.4979, 19.0402, 85, 102, 136, 170, 273, 511, 1.9561, 317.7, 3, ['0', '%'], 821, 96, 537, 30.47
2018-06-23 08:07:15, Warsaw, 52.2297, 21.0122, 88, 106, 141, 177, 282, 530, 1.8883, 349.6, 29, ['0', '%'], 203, 280, 394, 31.76
2018-06-23 08:07:18, Alexandria, 31.2001, 29.9187, 50, 60, 81, 101, 161, 302, 3.3117, 297.2, 0, ['0', '%'], 814, 118, 641, 37.68
2018-06-23 09:07:22, Istanbul, 41.0082, 28.9784, 57, 68, 91, 113, 181, 340, 2.9438, 329.9, 8, ['0', '%'], 658, 172, 590, 37.5
2018-06-23 09:07:25, Odesa, 46.4825, 30.7233, 52, 62, 83, 104, 166, 312, 3.2052, 321.6, 19, ['76', '%'], 393, 271, 527, 38.49
2018-06-23 09:07:29, Kiev, 50.4501, 30.5234, 53, 64, 85, 106, 169, 318, 3.1471, 311.7, 86, ['97', '%'], 0, 86, 86, 37.87
2018-06-23 09:07:32, St.Peterburg, 59.9343, 30.3351, 62, 75, 99, 124, 199, 373, 2.6823, 322.1, 15, ['0', '%'], 830, 107, 613, 35.79
