Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-19 14:15:43, Herzliya, 32.1592, 34.8071, 17, 20, 27, 34, 54, 101, 9.9296, 293, 0, 900, 153, 981, 67.69
2018-06-19 12:15:46, Dakar, 14.7167, 17.4677, 13, 16, 21, 27, 43, 80, 12.458, 279.1, 11, 906, 162, 1050, 79.64
2018-06-19 12:15:49, Conakry, 9.6412, 13.5784, 13, 16, 21, 26, 42, 79, 12.6808, 268.8, 91, 59, 90, 90, 76.08
2018-06-19 14:15:51, Nairobi, -1.2921, 36.8219, 19, 23, 30, 38, 60, 113, 8.8833, 251.3, 66, 4, 301, 304, 55.11
2018-06-19 12:15:53, Oran, 35.6971, -0.6308, 15, 18, 25, 31, 49, 92, 10.8208, 296.3, 0, 914, 158, 1035, 73.85
2018-06-19 13:15:56, Valencia, 39.4699, -0.3763, 16, 19, 25, 32, 51, 95, 10.5108, 296.3, 0, 927, 148, 1025, 71.07
2018-06-19 13:15:58, Bordeaux, 44.8378, -0.5792, 17, 21, 28, 35, 55, 104, 9.6196, 296.3, 2, 871, 165, 963, 66.44
2018-06-19 13:16:01, Paris, 48.8566, 2.3522, 22, 26, 35, 44, 70, 131, 7.624, 340.1, 52, 21, 444, 463, 63.57
2018-06-19 12:16:03, London, 51.8074, -0.1278, 24, 29, 38, 48, 77, 144, 6.9265, 347.2, 31, 184, 477, 638, 60.25
2018-06-19 12:16:05, Tunis, 33.8869, 9.5375, 16, 19, 25, 32, 51, 95, 10.5011, 321.6, 1, 914, 159, 1054, 79.4
2018-06-19 13:16:08, Vatican, 41.9029, 12.4534, 18, 22, 29, 37, 59, 110, 9.0771, 334.7, 4, 817, 195, 967, 71.5
2018-06-19 13:16:10, Venice, 45.4408, 12.3155, 21, 25, 33, 41, 66, 123, 8.118, 346.6, 2, 906, 151, 986, 67.97
2018-06-19 13:16:12, Milan, 45.4642, 9.1901, 21, 25, 34, 42, 67, 126, 7.9243, 353.8, 0, 906, 150, 987, 67.89
2018-06-19 13:16:15, Hamburg, 53.5511, 9.9937, 24, 29, 39, 49, 78, 146, 6.8684, 342.3, 69, 2, 279, 281, 59.85
2018-06-19 13:16:17, Tirana, 41.3275, 19.8187, 19, 23, 30, 38, 61, 114, 8.8058, 338.2, 49, 34, 477, 509, 70.75
2018-06-19 13:16:19, Belgrade, 44.7866, 20.4489, 17, 20, 27, 34, 54, 102, 9.8036, 296.3, 46, 39, 491, 526, 67.38
2018-06-19 13:16:21, Budapest, 47.4979, 19.0402, 18, 21, 28, 35, 57, 106, 9.4258, 296.3, 6, 759, 212, 897, 65.15
2018-06-19 13:16:23, Warsaw, 52.2297, 21.0122, 23, 28, 37, 47, 75, 140, 7.1299, 339.8, 6, 766, 201, 859, 60.26
2018-06-19 13:16:26, Alexandria, 31.2001, 29.9187, 16, 19, 25, 32, 51, 95, 10.5108, 296.3, 2, 858, 177, 990, 71.79
2018-06-19 14:16:28, Istanbul, 41.0082, 28.9784, 18, 22, 29, 37, 59, 110, 9.0577, 316.2, 20, 393, 410, 770, 67.03
2018-06-19 14:16:31, Odesa, 46.4825, 30.7233, 20, 24, 32, 40, 65, 121, 8.244, 313.2, 0, 910, 141, 937, 62.16
2018-06-19 14:16:33, Kiev, 50.4501, 30.5234, 24, 28, 38, 47, 76, 142, 7.0427, 335.5, 51, 22, 419, 439, 59.12
2018-06-19 14:16:36, St.Peterburg, 59.9343, 30.3351, 32, 38, 51, 63, 101, 190, 5.2602, 347.7, 53, 18, 363, 377, 51.13
