Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 14:03:29, Herzliya, 32.1592, 34.8071, 16, 20, 26, 33, 52, 98, 10.2072, 299.3, 0, ['0', '%'], 890, 155, 976, 70.27
2018-06-22 12:03:34, Dakar, 14.7167, 17.4677, 13, 16, 21, 27, 43, 80, 12.5024, 280, 19, ['0', '%'], 902, 163, 1047, 80.91
2018-06-22 12:03:37, Conakry, 9.6412, 13.5784, 13, 16, 22, 27, 43, 81, 12.3474, 274.8, 20, ['63', '%'], 406, 431, 823, 76.16
2018-06-22 14:03:41, Nairobi, -1.2921, 36.8219, 18, 22, 29, 36, 58, 109, 9.2097, 256.2, 27, ['0', '%'], 270, 430, 651, 57.22
2018-06-22 12:03:44, Oran, 35.6971, -0.6308, 18, 21, 29, 36, 57, 107, 9.3453, 326.5, 1, ['0', '%'], 915, 155, 1033, 71.94
2018-06-22 13:03:48, Valencia, 39.4699, -0.3763, 18, 22, 29, 36, 58, 109, 9.2001, 321.7, 0, ['0', '%'], 928, 147, 1025, 69.52
2018-06-22 13:03:51, Bordeaux, 44.8378, -0.5792, 19, 23, 31, 39, 62, 117, 8.5706, 320, 0, ['0', '%'], 932, 141, 995, 65.25
2018-06-22 13:03:54, Paris, 48.8566, 2.3522, 21, 25, 34, 42, 67, 127, 7.9024, 324.8, 13, ['0', '%'], 622, 283, 839, 62.79
2018-06-22 12:03:58, London, 51.8074, -0.1278, 23, 28, 37, 46, 74, 138, 7.2438, 327.9, 0, None, 931, 133, 942, 59.45
2018-06-22 12:04:01, Tunis, 33.8869, 9.5375, 18, 22, 29, 36, 57, 108, 9.2969, 352.3, 2, ['0', '%'], 906, 161, 1048, 78.64
2018-06-22 13:04:04, Vatican, 41.9029, 12.4534, 19, 22, 30, 37, 60, 112, 8.9386, 338.5, 16, ['0', '%'], 527, 351, 849, 71.45
2018-06-22 13:04:07, Venice, 45.4408, 12.3155, 19, 23, 30, 38, 61, 114, 8.7546, 325.3, 42, ['95', '%'], 64, 512, 571, 67.92
2018-06-22 13:04:12, Milan, 45.4642, 9.1901, 19, 23, 30, 38, 60, 113, 8.8805, 321.9, 5, ['0', '%'], 817, 192, 947, 67.55
2018-06-22 13:04:15, Hamburg, 53.5511, 9.9937, 31, 37, 49, 61, 98, 183, 5.4619, 415, 17, ['72', '%'], 503, 331, 764, 59.69
2018-06-22 13:04:19, Tirana, 41.3275, 19.8187, 18, 21, 29, 36, 57, 107, 9.3066, 327.9, 10, ['0', '%'], 678, 268, 906, 71.57
2018-06-22 13:04:22, Belgrade, 44.7866, 20.4489, 18, 22, 29, 36, 58, 108, 9.2194, 316.7, 38, ['95', '%'], 96, 521, 610, 68.11
2018-06-22 13:04:25, Budapest, 47.4979, 19.0402, 19, 23, 31, 38, 62, 115, 8.6674, 317.7, 72, ['71', '%'], 1, 275, 277, 65.67
2018-06-22 13:04:28, Warsaw, 52.2297, 21.0122, 22, 26, 35, 44, 71, 132, 7.5537, 323.1, 33, ['0', '%'], 154, 484, 616, 60.78
2018-06-22 13:04:32, Alexandria, 31.2001, 29.9187, 16, 19, 25, 32, 50, 95, 10.5752, 305, 0, ['0', '%'], 896, 158, 1008, 74.26
2018-06-22 14:04:36, Istanbul, 41.0082, 28.9784, 19, 23, 31, 39, 62, 117, 8.5609, 336.8, 4, ['0', '%'], 820, 186, 934, 68.63
2018-06-22 14:04:39, Odesa, 46.4825, 30.7233, 20, 23, 31, 39, 63, 117, 8.5222, 310.2, 19, ['0', '%'], 406, 385, 742, 63.5
2018-06-22 14:04:42, Kiev, 50.4501, 30.5234, 21, 25, 33, 41, 66, 124, 8.0864, 305.5, 37, ['95', '%'], 106, 469, 559, 60.23
2018-06-22 14:04:45, St.Peterburg, 59.9343, 30.3351, 32, 39, 51, 64, 103, 193, 5.1908, 351.7, 36, ['95', '%'], 114, 428, 516, 51.84
