Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 09:01:15, Herzliya, 32.1592, 34.8071, 43, 52, 69, 86, 138, 258, 3.8737, 299.3, 0, ['0', '%'], 852, 120, 716, 40.68
2018-06-22 07:01:19, Dakar, 14.7167, 17.4677, 158, 189, 253, 316, 505, 947, 1.0556, 274.2, 23, ['0', '%'], 238, 196, 296, 21.31
2018-06-22 07:01:22, Conakry, 9.6412, 13.5784, 313, 375, 501, 626, 1001, 1877, 0.5326, 274.8, 11, ['0', '%'], 389, 126, 254, 15.96
2018-06-22 09:01:25, Nairobi, -1.2921, 36.8219, 56, 68, 90, 113, 181, 339, 2.9537, 250.8, 4, ['0', '%'], 808, 116, 590, 32.52
2018-06-22 07:01:29, Oran, 35.6971, -0.6308, 555, 666, 888, 1110, 1777, 3331, 0.3002, 320.5, 22, ['0', '%'], 211, 127, 188, 12.76
2018-06-22 08:01:32, Valencia, 39.4699, -0.3763, 410, 492, 656, 820, 1311, 2459, 0.4067, 316.8, 6, ['0', '%'], 539, 89, 250, 14.2
2018-06-22 08:01:35, Bordeaux, 44.8378, -0.5792, 359, 430, 574, 717, 1147, 2151, 0.4648, 314.7, 1, ['0', '%'], 688, 71, 291, 15.75
2018-06-22 08:01:38, Paris, 48.8566, 2.3522, 257, 308, 411, 514, 822, 1541, 0.6488, 324.8, 8, None, 717, 78, 343, 18.8
2018-06-22 07:01:40, London, 51.8074, -0.1278, 261, 313, 417, 522, 834, 1565, 0.6392, 327.9, 0, None, 699, 77, 328, 18.03
2018-06-22 07:01:43, Tunis, 33.8869, 9.5375, 224, 268, 358, 447, 715, 1341, 0.7457, 352.3, 1, ['0', '%'], 655, 94, 356, 20.22
2018-06-22 08:01:46, Vatican, 41.9029, 12.4534, 148, 178, 237, 297, 475, 890, 1.1234, 340.7, 20, ['0', '%'], 327, 200, 350, 24.27
2018-06-22 08:01:50, Venice, 45.4408, 12.3155, 141, 169, 226, 282, 451, 846, 1.1815, 323.1, 88, ['97', '%'], 24, 51, 51, 24.78
2018-06-22 08:01:53, Milan, 45.4642, 9.1901, 174, 209, 278, 348, 556, 1043, 0.9587, 330.9, 25, ['86', '%'], 224, 206, 303, 22.63
2018-06-22 08:01:56, Hamburg, 53.5511, 9.9937, 131, 158, 210, 263, 420, 788, 1.2686, 302.4, 38, None, 82, 233, 271, 24.42
2018-06-22 08:01:59, Tirana, 41.3275, 19.8187, 98, 117, 156, 196, 313, 587, 1.7044, 337.3, 3, None, 726, 121, 514, 29.67
2018-06-22 08:02:01, Belgrade, 44.7866, 20.4489, 87, 105, 140, 175, 280, 524, 1.9078, 325.1, 19, ['91', '%'], 371, 232, 438, 30.44
2018-06-22 08:02:05, Budapest, 47.4979, 19.0402, 91, 109, 145, 181, 290, 543, 1.84, 314.1, 92, ['0', '%'], 2, 38, 38, 29.64
2018-06-22 08:02:09, Warsaw, 52.2297, 21.0122, 78, 93, 125, 156, 249, 467, 2.1402, 312.6, 45, ['0', '%'], 46, 283, 308, 31.02
2018-06-22 08:02:13, Alexandria, 31.2001, 29.9187, 55, 66, 88, 110, 176, 330, 3.0312, 305, 1, ['0', '%'], 808, 119, 639, 36.65
2018-06-22 09:02:16, Istanbul, 41.0082, 28.9784, 61, 74, 98, 123, 197, 369, 2.7116, 336.8, 63, ['0', '%'], 6, 236, 240, 36.59
2018-06-22 09:02:19, Odesa, 46.4825, 30.7233, 53, 63, 84, 106, 169, 317, 3.1571, 310.2, 23, ['0', '%'], 833, 115, 656, 37.66
2018-06-22 09:02:36, Kiev, 50.4501, 30.5234, 52, 62, 83, 104, 166, 311, 3.2152, 305.5, 36, ['0', '%'], 829, 114, 642, 37.14
2018-06-22 09:02:40, St.Peterburg, 59.9343, 30.3351, 68, 82, 109, 137, 219, 410, 2.4404, 351.7, 74, ['97', '%'], 2, 155, 156, 35.23
