Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 18:04:57, Herzliya, 32.1592, 34.8071, 212, 255, 340, 425, 680, 1275, 0.7844, 299.3, 5, ['0', '%'], 525, 89, 248, 19.94
2018-06-22 16:05:03, Dakar, 14.7167, 17.4677, 74, 89, 119, 148, 237, 445, 2.2468, 280, 21, ['0', '%'], 693, 107, 432, 30.16
2018-06-22 16:05:07, Conakry, 9.6412, 13.5784, 67, 81, 108, 134, 215, 403, 2.4792, 274.8, 19, ['52', '%'], 308, 223, 376, 31.96
2018-06-22 18:05:11, Nairobi, -1.2921, 36.8219, 1324, 1589, 2118, 2648, 4236, 7943, 0.1259, 256.2, 33, ['0', '%'], 25, 29, 33, 6.37
2018-06-22 16:05:14, Oran, 35.6971, -0.6308, 32, 38, 51, 63, 101, 190, 5.2586, 326.5, 8, ['0', '%'], 668, 200, 686, 49.33
2018-06-22 17:05:18, Valencia, 39.4699, -0.3763, 32, 39, 52, 65, 104, 194, 5.152, 321.7, 3, ['0', '%'], 865, 124, 746, 48.67
2018-06-22 17:05:21, Bordeaux, 44.8378, -0.5792, 34, 40, 54, 67, 108, 202, 4.9583, 320, 1, ['0', '%'], 878, 119, 740, 47.68
2018-06-22 17:05:25, Paris, 48.8566, 2.3522, 39, 47, 62, 78, 124, 233, 4.2901, 324.8, 9, ['0', '%'], 660, 186, 627, 44.66
2018-06-22 16:05:28, London, 51.8074, -0.1278, 37, 45, 60, 75, 120, 225, 4.4451, 327.9, 2, None, 889, 112, 714, 45.19
2018-06-22 16:05:32, Tunis, 33.8869, 9.5375, 52, 62, 83, 104, 166, 312, 3.2055, 352.3, 1, ['0', '%'], 794, 123, 618, 40.95
2018-06-22 17:05:40, Vatican, 41.9029, 12.4534, 55, 66, 88, 110, 177, 331, 3.0215, 338.5, 1, ['0', '%'], 747, 128, 567, 38.69
2018-06-22 17:05:44, Venice, 45.4408, 12.3155, 53, 63, 84, 105, 168, 316, 3.1668, 325.3, 6, ['65', '%'], 661, 155, 545, 38.56
2018-06-22 17:05:47, Milan, 45.4642, 9.1901, 47, 56, 75, 94, 150, 281, 3.5638, 321.9, 3, ['17', '%'], 767, 132, 605, 40.73
2018-06-22 17:05:51, Hamburg, 53.5511, 9.9937, 69, 83, 111, 138, 221, 415, 2.4114, 415, 32, ['27', '%'], 136, 321, 402, 38.77
2018-06-22 17:05:55, Tirana, 41.3275, 19.8187, 72, 86, 115, 143, 229, 430, 2.3242, 327.9, 51, ['98', '%'], 22, 228, 239, 33.13
2018-06-22 17:05:57, Belgrade, 44.7866, 20.4489, 74, 89, 118, 148, 236, 443, 2.2564, 316.7, 71, ['90', '%'], 2, 136, 137, 32.81
2018-06-22 17:06:01, Budapest, 47.4979, 19.0402, 69, 83, 111, 139, 222, 416, 2.4017, 317.7, 50, ['25', '%'], 23, 244, 256, 33.78
2018-06-22 17:06:04, Warsaw, 52.2297, 21.0122, 75, 91, 121, 151, 242, 453, 2.208, 323.1, 10, ['0', '%'], 552, 162, 436, 32.34
2018-06-22 17:06:07, Alexandria, 31.2001, 29.9187, 146, 175, 233, 292, 467, 875, 1.1427, 305, 4, ['0', '%'], 649, 88, 322, 23.47
2018-06-22 18:06:11, Istanbul, 41.0082, 28.9784, 124, 149, 198, 248, 396, 743, 1.3461, 336.8, 1, ['0', '%'], 643, 101, 359, 26.19
2018-06-22 18:06:14, Odesa, 46.4825, 30.7233, 124, 149, 198, 248, 396, 743, 1.3461, 310.2, 2, ['0', '%'], 644, 99, 351, 25.74
2018-06-22 18:06:18, Kiev, 50.4501, 30.5234, 112, 134, 179, 224, 358, 671, 1.4914, 305.5, 77, ['98', '%'], 17, 84, 84, 26.32
2018-06-22 18:06:21, St.Peterburg, 59.9343, 30.3351, 129, 155, 207, 259, 414, 776, 1.288, 351.7, 26, ['0', '%'], 198, 209, 293, 26.94
