Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-13 12:43:31, Herzliya, 32.1592, 34.8071, 16, 19, 25, 31, 50, 94, 323.9, 1, 885, 174, 1044, 81.0°
2018-06-13 10:43:35, Dakar, 14.7167, 17.4677, 15, 18, 24, 30, 47, 89, 283, 2, 917, 154, 1027, 40.8°
2018-06-13 10:43:39, Conakry, 9.6412, 13.5784, 16, 19, 25, 32, 51, 95, 275.5, 1, 893, 155, 974, 42.4°
2018-06-13 12:43:42, Nairobi, -1.2921, 36.8219, 14, 17, 22, 28, 44, 83, 242.8, 34, 156, 524, 665, 65.4°
2018-06-13 10:43:46, Oran, 35.6971, -0.6308, 24, 28, 38, 47, 75, 141, 319.5, 2, 875, 151, 897, 57.5°
2018-06-13 11:43:49, Valencia, 39.4699, -0.3763, 27, 32, 43, 53, 85, 160, 345.8, 8, 922, 131, 907, 56.7°
2018-06-13 11:43:52, Bordeaux, 44.8378, -0.5792, 29, 35, 47, 59, 94, 176, 354.7, 2, 905, 132, 877, 54.5°
2018-06-13 11:43:55, Paris, 48.8566, 2.3522, 27, 33, 44, 55, 87, 164, 334, 57, 12, 366, 376, 54.2°
2018-06-13 10:43:58, London, 51.8074, -0.1278, 32, 38, 51, 64, 102, 192, 350.9, 0, 916, 123, 843, 51.5°
2018-06-13 10:44:02, Tunis, 33.8869, 9.5375, 18, 22, 30, 37, 59, 111, 307.3, 1, 906, 150, 979, 65.4°
2018-06-13 11:44:05, Vatican, 41.9029, 12.4534, 21, 25, 33, 41, 66, 124, 332.3, 11, 901, 148, 963, 64.1°
2018-06-13 11:44:08, Venice, 45.4408, 12.3155, 23, 27, 36, 46, 73, 137, 339.2, 25, 893, 147, 937, 61.7°
2018-06-13 11:44:11, Milan, 45.4642, 9.1901, 23, 28, 37, 46, 74, 138, 328.5, 50, 24, 433, 455, 60.0°
2018-06-13 11:44:16, Hamburg, 53.5511, 9.9937, 28, 33, 44, 55, 89, 166, 338.2, 39, 80, 457, 522, 54.7°
2018-06-13 11:44:20, Tirana, 41.3275, 19.8187, 19, 23, 31, 38, 61, 115, 331.6, 31, 182, 518, 688, 68.4°
2018-06-13 11:44:22, Belgrade, 44.7866, 20.4489, 20, 24, 32, 40, 65, 121, 331.1, 5, 779, 206, 918, 65.8°
2018-06-13 11:44:26, Budapest, 47.4979, 19.0402, 22, 26, 35, 43, 69, 130, 331, 54, 15, 413, 427, 63.0°
2018-06-13 11:44:30, Warsaw, 52.2297, 21.0122, 23, 28, 38, 47, 75, 141, 333.2, 44, 48, 466, 508, 59.4°
2018-06-13 11:44:33, Alexandria, 31.2001, 29.9187, 15, 18, 24, 29, 47, 88, 306.7, 0, 924, 160, 1068, 81.3°
2018-06-13 12:44:36, Istanbul, 41.0082, 28.9784, 19, 23, 30, 38, 60, 113, 341.1, 0, 923, 152, 1026, 71.7°
2018-06-13 12:44:39, Odesa, 46.4825, 30.7233, 21, 25, 34, 42, 67, 126, 347.6, 2, 896, 152, 974, 66.6°
2018-06-13 12:44:42, Kiev, 50.4501, 30.5234, 23, 27, 36, 46, 73, 137, 346.2, 47, 35, 466, 497, 62.7°
2018-06-13 12:44:46, St.Peterburg, 59.9343, 30.3351, 30, 36, 48, 60, 96, 181, 353.1, 24, 418, 314, 647, 53.2°
