Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-18 10:41:32, Herzliya, 32.1592, 34.8071, 19, 23, 31, 38, 61, 115, 8.7197, 293, 5, 798, 190, 904, 61.99
2018-06-18 08:41:35, Dakar, 14.7167, 17.4677, 33, 39, 52, 65, 104, 195, 5.1156, 279.1, 8, 696, 183, 680, 44.45
2018-06-18 08:41:39, Conakry, 9.6412, 13.5784, 40, 48, 64, 80, 127, 239, 4.1855, 268.8, 11, 566, 207, 573, 39.12
2018-06-18 10:41:42, Nairobi, -1.2921, 36.8219, 20, 24, 32, 40, 64, 120, 8.3225, 251.3, 73, 1, 236, 237, 53.14
2018-06-18 08:41:45, Oran, 35.6971, -0.6308, 75, 91, 121, 151, 241, 453, 2.209, 322.3, 8, 824, 102, 566, 32.67
2018-06-18 09:41:47, Valencia, 39.4699, -0.3763, 71, 85, 114, 142, 227, 427, 2.3446, 325, 0, 845, 98, 576, 33.24
2018-06-18 09:41:49, Bordeaux, 44.8378, -0.5792, 77, 92, 123, 154, 246, 461, 2.1702, 348.4, 62, 6, 210, 213, 33.35
2018-06-18 09:41:51, Paris, 48.8566, 2.3522, 66, 79, 105, 132, 211, 395, 2.5287, 340.1, 60, 9, 236, 241, 35.26
2018-06-18 08:41:56, London, 51.8074, -0.1278, 76, 92, 122, 153, 245, 459, 2.1799, 347.2, 31, 184, 291, 394, 33.47
2018-06-18 08:41:58, Tunis, 33.8869, 9.5375, 47, 56, 75, 93, 150, 280, 3.5654, 321.6, 0, 840, 117, 680, 40.88
2018-06-18 09:42:02, Vatican, 41.9029, 12.4534, 44, 53, 71, 88, 142, 265, 3.7689, 334.7, 4, 857, 119, 717, 42.98
2018-06-18 09:42:04, Venice, 45.4408, 12.3155, 46, 55, 74, 92, 148, 277, 3.6138, 346.6, 74, 1, 181, 182, 42.41
2018-06-18 09:42:06, Milan, 45.4642, 9.1901, 52, 63, 83, 104, 167, 313, 3.1972, 353.8, 3, 848, 114, 675, 40.24
2018-06-18 09:42:07, Hamburg, 53.5511, 9.9937, 53, 64, 85, 106, 169, 318, 3.1488, 342.3, 1, 822, 119, 653, 39.29
2018-06-18 09:42:09, Tirana, 41.3275, 19.8187, 34, 41, 55, 69, 110, 206, 4.8443, 338.2, 1, 846, 137, 784, 48.53
2018-06-18 09:42:11, Belgrade, 44.7866, 20.4489, 34, 41, 55, 68, 109, 204, 4.8927, 335.2, 9, 682, 203, 722, 48.17
2018-06-18 09:42:13, Budapest, 47.4979, 19.0402, 38, 46, 62, 77, 123, 231, 4.3308, 347, 41, 63, 398, 444, 46.47
2018-06-18 09:42:15, Warsaw, 52.2297, 21.0122, 37, 45, 60, 75, 120, 225, 4.4471, 339.8, 7, 862, 125, 755, 46.01
2018-06-18 09:42:17, Alexandria, 31.2001, 29.9187, 20, 24, 32, 41, 65, 122, 8.2256, 288.4, 0, 884, 144, 903, 58.16
2018-06-18 10:42:19, Istanbul, 41.0082, 28.9784, 25, 30, 40, 50, 79, 149, 6.7239, 316.2, 20, 411, 359, 702, 55.29
2018-06-18 10:42:22, Odesa, 46.4825, 30.7233, 25, 30, 40, 51, 81, 152, 6.5882, 313.2, 10, 883, 136, 862, 54.23
2018-06-18 10:42:24, Kiev, 50.4501, 30.5234, 29, 35, 47, 59, 94, 176, 5.6775, 335.5, 12, 870, 136, 831, 52.1
2018-06-18 10:42:25, St.Peterburg, 59.9343, 30.3351, 38, 46, 62, 77, 123, 231, 4.3308, 347.7, 6, 718, 178, 705, 46.29
