Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 08:00:54, Herzliya, 32.1592, 34.8071, 93, 112, 149, 186, 298, 558, 1.7916, 299.3, 0, ['0', '%'], 783, 101, 512, 28.04
2018-06-22 06:00:58, Dakar, 14.7167, 17.4677, 1147, 1377, 1836, 2295, 3671, 6884, 0.1453, 274.2, 38, ['0', '%'], 41, 82, 90, 7.68
2018-06-22 06:01:01, Conakry, 9.6412, 13.5784, 4303, 5163, 6884, 8605, 13768, 25815, 0.0387, 274.8, 9, ['0', '%'], 114, 42, 61, 2.22
2018-06-22 08:01:04, Nairobi, -1.2921, 36.8219, 177, 213, 284, 355, 568, 1065, 0.9394, 250.8, 12, ['0', '%'], 509, 132, 327, 19.08
2018-06-22 06:01:08, Oran, 35.6971, -0.6308, 5737, 6884, 9179, 11473, 18357, 34420, 0.0291, 320.5, 6, ['0', '%'], 131, 36, 59, 1.57
2018-06-22 07:01:12, Valencia, 39.4699, -0.3763, 3442, 4130, 5507, 6884, 11014, 20652, 0.0484, 316.8, 0, ['0', '%'], 209, 48, 83, 3.52
2018-06-22 07:01:15, Bordeaux, 44.8378, -0.5792, 1912, 2295, 3060, 3824, 6119, 11473, 0.0872, 314.7, 1, ['0', '%'], 356, 53, 115, 5.89
2018-06-22 07:01:18, Paris, 48.8566, 2.3522, 906, 1087, 1449, 1812, 2899, 5435, 0.184, 324.8, 17, ['0', '%'], 508, 61, 172, 9.47
2018-06-22 06:01:21, London, 51.8074, -0.1278, 906, 1087, 1449, 1812, 2899, 5435, 0.184, 327.9, 0, None, 508, 59, 167, 9.33
2018-06-22 06:01:24, Tunis, 33.8869, 9.5375, 1147, 1377, 1836, 2295, 3671, 6884, 0.1453, 352.3, 1, ['0', '%'], 397, 68, 148, 8.39
2018-06-22 07:01:28, Vatican, 41.9029, 12.4534, 506, 607, 810, 1012, 1620, 3037, 0.3293, 340.7, 40, ['0', '%'], 49, 130, 144, 13.44
2018-06-22 07:01:34, Venice, 45.4408, 12.3155, 420, 504, 672, 840, 1343, 2519, 0.3971, 323.1, 87, ['90', '%'], 7, 32, 32, 14.53
2018-06-22 07:01:38, Milan, 45.4642, 9.1901, 555, 666, 888, 1110, 1777, 3331, 0.3002, 330.9, 64, ['86', '%'], 5, 77, 79, 12.48
2018-06-22 07:01:41, Hamburg, 53.5511, 9.9937, 344, 413, 551, 688, 1101, 2065, 0.4842, 302.4, 58, ['97', '%'], 10, 113, 116, 15.7
2018-06-22 07:01:44, Tirana, 41.3275, 19.8187, 269, 323, 430, 538, 861, 1613, 0.6198, 337.3, 14, ['64', '%'], 375, 145, 285, 18.57
2018-06-22 07:01:48, Belgrade, 44.7866, 20.4489, 233, 279, 372, 465, 744, 1395, 0.7166, 325.1, 1, ['89', '%'], 677, 89, 351, 19.9
2018-06-22 07:01:51, Budapest, 47.4979, 19.0402, 224, 268, 358, 447, 715, 1341, 0.7457, 314.1, 90, ['0', '%'], 0, 32, 32, 19.6
2018-06-22 07:01:54, Warsaw, 52.2297, 21.0122, 181, 217, 290, 362, 580, 1087, 0.92, 312.6, 76, ['0', '%'], 2, 91, 91, 21.84
2018-06-22 07:01:57, Alexandria, 31.2001, 29.9187, 146, 175, 233, 292, 467, 875, 1.1427, 305, 2, ['0', '%'], 694, 104, 424, 23.99
2018-06-22 08:02:00, Istanbul, 41.0082, 28.9784, 134, 161, 215, 269, 430, 807, 1.2396, 336.8, 75, ['0', '%'], 1, 112, 113, 25.28
2018-06-22 08:02:04, Odesa, 46.4825, 30.7233, 104, 125, 167, 209, 334, 626, 1.5979, 310.2, 3, ['0', '%'], 706, 115, 473, 27.3
2018-06-22 08:02:07, Kiev, 50.4501, 30.5234, 103, 124, 165, 206, 330, 618, 1.6173, 305.5, 44, ['0', '%'], 754, 101, 483, 27.54
2018-06-22 08:02:11, St.Peterburg, 59.9343, 30.3351, 120, 143, 191, 239, 382, 717, 1.3945, 351.7, 82, ['97', '%'], 13, 83, 84, 27.74
