Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-13 09:35:14, Herzliya, 32.1592, 34.8071, 33, 39, 52, 65, 104, 195, 323.9, 13, 567, 260, 701, 48.3°
2018-06-13 07:35:18, Dakar, 14.7167, 17.4677, 81, 97, 129, 161, 258, 484, 283, 1, 790, 102, 520, -1.1°
2018-06-13 07:35:21, Conakry, 9.6412, 13.5784, 119, 142, 190, 237, 379, 711, 275.5, 15, 714, 99, 422, -0.1°
2018-06-13 09:35:26, Nairobi, -1.2921, 36.8219, 33, 40, 54, 67, 107, 201, 242.8, 48, 36, 356, 381, 40.4°
2018-06-13 07:35:29, Oran, 35.6971, -0.6308, 226, 271, 362, 452, 724, 1357, 319.5, 0, 709, 84, 355, 19.7°
2018-06-13 08:35:32, Valencia, 39.4699, -0.3763, 220, 264, 353, 441, 705, 1322, 345.8, 0, 745, 81, 374, 20.9°
2018-06-13 08:35:35, Bordeaux, 44.8378, -0.5792, 205, 246, 327, 409, 655, 1228, 354.7, 8, 551, 126, 350, 21.9°
2018-06-13 08:35:38, Paris, 48.8566, 2.3522, 146, 175, 233, 291, 466, 874, 334, 3, 715, 102, 421, 24.5°
2018-06-13 07:35:42, London, 51.8074, -0.1278, 167, 200, 267, 334, 534, 1001, 350.9, 24, 250, 206, 313, 23.4°
2018-06-13 07:35:45, Tunis, 33.8869, 9.5375, 104, 124, 166, 207, 331, 621, 307.3, 5, 638, 132, 448, 28.5°
2018-06-13 08:35:49, Vatican, 41.9029, 12.4534, 90, 107, 143, 179, 286, 537, 332.3, 24, 262, 265, 409, 30.9°
2018-06-13 08:35:53, Venice, 45.4408, 12.3155, 91, 110, 146, 183, 293, 549, 339.2, 1, 773, 109, 531, 31.0°
2018-06-13 08:36:00, Milan, 45.4642, 9.1901, 102, 123, 164, 205, 327, 614, 328.5, 76, 1, 121, 121, 28.9°
2018-06-13 08:36:04, Hamburg, 53.5511, 9.9937, 98, 118, 157, 196, 314, 589, 338.2, 22, 308, 237, 401, 29.7°
2018-06-13 08:36:07, Tirana, 41.3275, 19.8187, 60, 72, 96, 121, 193, 362, 331.6, 1, 823, 115, 628, 36.4°
2018-06-13 08:36:10, Belgrade, 44.7866, 20.4489, 60, 72, 96, 121, 193, 362, 331.1, 4, 834, 112, 635, 36.8°
2018-06-13 08:36:14, Budapest, 47.4979, 19.0402, 64, 77, 102, 128, 204, 383, 331, 2, 780, 123, 599, 35.7°
2018-06-13 08:36:17, Warsaw, 52.2297, 21.0122, 61, 73, 97, 121, 194, 364, 333.2, 9, 829, 112, 626, 36.4°
2018-06-13 08:36:22, Alexandria, 31.2001, 29.9187, 36, 44, 58, 73, 116, 218, 306.7, 0, 857, 126, 749, 44.4°
2018-06-13 09:36:27, Istanbul, 41.0082, 28.9784, 43, 52, 69, 86, 138, 259, 341.1, 0, 881, 118, 746, 43.4°
2018-06-13 09:36:31, Odesa, 46.4825, 30.7233, 44, 53, 71, 88, 141, 264, 347.6, 5, 859, 123, 735, 43.8°
2018-06-13 09:36:33, Kiev, 50.4501, 30.5234, 46, 55, 74, 92, 147, 276, 346.2, 51, 24, 334, 351, 42.7°
2018-06-13 09:36:37, St.Peterburg, 59.9343, 30.3351, 55, 66, 88, 109, 175, 328, 353.1, 3, 859, 111, 672, 39.3°
