Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 12:02:49, Herzliya, 32.1592, 34.8071, 15, 18, 24, 30, 48, 89, 11.2144, 299.3, 0, ['0', '%'], 909, 161, 1051, 77.53
2018-06-22 10:02:53, Dakar, 14.7167, 17.4677, 18, 21, 28, 35, 57, 106, 9.4325, 280, 4, ['0', '%'], 806, 188, 923, 62.71
2018-06-22 10:02:56, Conakry, 9.6412, 13.5784, 20, 24, 31, 39, 63, 118, 8.4834, 274.8, 27, ['0', '%'], 250, 449, 665, 57.09
2018-06-22 12:02:59, Nairobi, -1.2921, 36.8219, 15, 18, 24, 30, 48, 91, 11.0013, 256.2, 14, ['0', '%'], 650, 281, 867, 64.06
2018-06-22 10:03:03, Oran, 35.6971, -0.6308, 33, 40, 53, 66, 106, 198, 5.0552, 326.5, 2, ['0', '%'], 885, 130, 830, 48.98
2018-06-22 11:03:06, Valencia, 39.4699, -0.3763, 32, 39, 52, 65, 104, 194, 5.152, 321.7, 0, ['0', '%'], 905, 124, 833, 48.74
2018-06-22 11:03:08, Bordeaux, 44.8378, -0.5792, 34, 40, 54, 67, 108, 202, 4.9583, 320, 0, ['0', '%'], 903, 121, 817, 47.49
2018-06-22 11:03:12, Paris, 48.8566, 2.3522, 33, 39, 52, 65, 105, 196, 5.0939, 324.8, 6, ['0', '%'], 893, 124, 816, 48.15
2018-06-22 10:03:16, London, 51.8074, -0.1278, 37, 45, 60, 75, 120, 225, 4.4451, 327.9, 0, None, 902, 117, 787, 45.58
2018-06-22 10:03:18, Tunis, 33.8869, 9.5375, 27, 32, 42, 53, 85, 159, 6.2754, 352.3, 2, ['0', '%'], 880, 146, 912, 57.54
2018-06-22 11:03:22, Vatican, 41.9029, 12.4534, 25, 30, 40, 51, 81, 152, 6.5853, 338.5, 16, ['0', '%'], 502, 328, 763, 57.43
2018-06-22 11:03:26, Venice, 45.4408, 12.3155, 26, 31, 41, 51, 82, 154, 6.4981, 325.3, 64, ['96', '%'], 5, 319, 323, 55.76
2018-06-22 11:03:29, Milan, 45.4642, 9.1901, 27, 32, 43, 54, 86, 162, 6.1786, 321.9, 1, ['58', '%'], 869, 144, 868, 53.81
2018-06-22 11:03:32, Hamburg, 53.5511, 9.9937, 40, 49, 65, 81, 130, 243, 4.1158, 415, 12, ['88', '%'], 627, 238, 735, 50.16
2018-06-22 11:03:36, Tirana, 41.3275, 19.8187, 21, 26, 34, 43, 68, 128, 7.8152, 327.9, 20, ['0', '%'], 399, 402, 763, 62.58
2018-06-22 11:03:39, Belgrade, 44.7866, 20.4489, 22, 26, 34, 43, 69, 129, 7.7474, 316.7, 79, ['96', '%'], 121, 200, 201, 60.92
2018-06-22 11:03:44, Budapest, 47.4979, 19.0402, 23, 27, 36, 46, 73, 137, 7.3213, 317.7, 73, ['24', '%'], 1, 253, 255, 58.44
2018-06-22 11:03:48, Warsaw, 52.2297, 21.0122, 25, 30, 40, 49, 79, 148, 6.7499, 323.1, 15, ['0', '%'], 556, 294, 763, 56.01
2018-06-22 11:03:51, Alexandria, 31.2001, 29.9187, 16, 19, 25, 32, 50, 95, 10.5752, 305, 1, ['0', '%'], 901, 161, 1037, 74.81
2018-06-22 12:03:55, Istanbul, 41.0082, 28.9784, 19, 23, 31, 39, 62, 117, 8.5609, 336.8, 35, ['0', '%'], 126, 532, 650, 68.07
2018-06-22 12:03:58, Odesa, 46.4825, 30.7233, 19, 23, 31, 38, 61, 115, 8.7158, 310.2, 5, ['0', '%'], 775, 205, 910, 64.38
2018-06-22 12:04:01, Kiev, 50.4501, 30.5234, 21, 25, 33, 41, 66, 124, 8.0864, 305.5, 2, ['32', '%'], 826, 171, 899, 60.85
2018-06-22 12:04:04, St.Peterburg, 59.9343, 30.3351, 31, 37, 50, 62, 99, 186, 5.3748, 351.7, 17, ['96', '%'], 462, 317, 684, 52.17
