Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-24 13:12:21, Herzliya, 32.1592, 34.8071, 14, 17, 23, 29, 46, 86, 11.6289, 295.2, 0, 0, 908, 160, 1046, 79.2
2018-06-24 11:12:25, Dakar, 14.7167, 17.4677, 14, 17, 22, 28, 44, 83, 12.0936, 281.7, 11, 0, 899, 162, 1038, 77.06
2018-06-24 11:12:29, Conakry, 9.6412, 13.5784, 14, 17, 23, 29, 46, 87, 11.5127, 271.8, 6, 77, 777, 214, 947, 70.78
2018-06-24 13:12:33, Nairobi, -1.2921, 36.8219, 15, 18, 23, 29, 47, 88, 11.3481, 245.5, 34, 0, 149, 513, 645, 63.71
2018-06-24 11:12:36, Oran, 35.6971, -0.6308, 19, 23, 31, 39, 62, 117, 8.5692, 303.7, 0, 0, 918, 140, 963, 62.7
2018-06-24 12:12:40, Valencia, 39.4699, -0.3763, 22, 26, 35, 43, 69, 130, 7.688, 325.6, 1, 0, 914, 139, 950, 61.45
2018-06-24 12:12:43, Bordeaux, 44.8378, -0.5792, 23, 28, 38, 47, 75, 141, 7.0974, 325.7, 8, 0, 909, 135, 921, 58.66
2018-06-24 12:12:47, Paris, 48.8566, 2.3522, 24, 29, 38, 48, 76, 143, 6.9812, 322.7, 4, 0, 822, 169, 869, 57.74
2018-06-24 11:12:50, London, 51.8074, -0.1278, 27, 32, 43, 54, 86, 161, 6.226, 328.8, 1, None, 913, 128, 878, 54.58
2018-06-24 11:12:53, Tunis, 33.8869, 9.5375, 19, 22, 30, 37, 59, 111, 9.0049, 336.6, 0, 0, 898, 155, 1008, 71.12
2018-06-24 12:13:00, Vatican, 41.9029, 12.4534, 20, 24, 32, 40, 65, 121, 8.2593, 341.3, 4, 0, 826, 185, 952, 67.68
2018-06-24 12:13:04, Venice, 45.4408, 12.3155, 22, 26, 35, 44, 71, 132, 7.5525, 349.6, 5, 51, 792, 196, 913, 64.78
2018-06-24 12:13:07, Milan, 45.4642, 9.1901, 21, 25, 34, 42, 67, 126, 7.9591, 328.7, 14, 0, 565, 309, 818, 63.44
2018-06-24 12:13:15, Hamburg, 53.5511, 9.9937, 27, 33, 43, 54, 87, 163, 6.1485, 358.8, 54, 95, 14, 388, 400, 57.12
2018-06-24 12:13:20, Tirana, 41.3275, 19.8187, 18, 21, 28, 36, 57, 107, 9.3631, 321.3, 8, 0, 741, 237, 936, 71.0
2018-06-24 12:13:24, Belgrade, 44.7866, 20.4489, 20, 24, 32, 40, 64, 120, 8.3465, 338, 23, 0, 335, 447, 758, 67.89
2018-06-24 12:13:28, Budapest, 47.4979, 19.0402, 23, 28, 37, 46, 74, 139, 7.2136, 369, 26, 0, 296, 454, 723, 65.01
2018-06-24 12:13:32, Warsaw, 52.2297, 21.0122, 28, 33, 44, 55, 89, 166, 6.0226, 390.5, 69, 95, 2, 285, 288, 60.78
2018-06-24 12:13:35, Alexandria, 31.2001, 29.9187, 14, 17, 22, 28, 45, 84, 11.9194, 293.8, 0, 0, 913, 161, 1060, 81.88
2018-06-24 13:13:39, Istanbul, 41.0082, 28.9784, 18, 21, 28, 36, 57, 107, 9.3825, 329.5, 31, 0, 178, 526, 696, 72.35
2018-06-24 13:13:42, Odesa, 46.4825, 30.7233, 19, 23, 31, 38, 61, 115, 8.7144, 321.6, 7, 0, 915, 145, 982, 66.77
2018-06-24 13:13:46, Kiev, 50.4501, 30.5234, 20, 24, 32, 40, 64, 120, 8.3077, 311.7, 32, 0, 167, 495, 643, 62.85
2018-06-24 13:13:49, St.Peterburg, 59.9343, 30.3351, 27, 33, 44, 55, 87, 164, 6.1098, 324.2, 67, 0, 3, 266, 268, 53.42
