Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 07:00:34, Herzliya, 32.1592, 34.8071, 344, 413, 551, 688, 1101, 2065, 0.4842, 299.3, 2, ['0', '%'], 594, 88, 286, 15.7
2018-06-22 05:00:39, Dakar, 14.7167, 17.4677, None, None, None, None, None, None, 0, 274.2, 26, ['0', '%'], 3, 4, 4, -5.63
2018-06-22 05:00:42, Conakry, 9.6412, 13.5784, None, None, None, None, None, None, 0, 274.8, 2, ['0', '%'], 0, 0, 0, -11.28
2018-06-22 07:00:46, Nairobi, -1.2921, 36.8219, 1721, 2065, 2754, 3442, 5507, 10326, 0.0968, 250.8, 26, ['0', '%'], 443, 42, 123, 5.36
2018-06-22 05:00:49, Oran, 35.6971, -0.6308, None, None, None, None, None, None, 0, 320.5, 7, ['0', '%'], 0, 0, 0, -8.74
2018-06-22 06:00:53, Valencia, 39.4699, -0.3763, None, None, None, None, None, None, 0, 316.8, 0, ['0', '%'], 3, 3, 3, -6.28
2018-06-22 06:00:56, Bordeaux, 44.8378, -0.5792, None, None, None, None, None, None, 0, 314.7, 0, ['0', '%'], 12, 5, 7, -3.1
2018-06-22 06:00:59, Paris, 48.8566, 2.3522, 8605, 10326, 13768, 17210, 27536, 51630, 0.0194, 324.8, 23, ['0', '%'], 91, 26, 41, 0.92
2018-06-22 05:01:03, London, 51.8074, -0.1278, 5737, 6884, 9179, 11473, 18357, 34420, 0.0291, 327.9, 0, None, 94, 27, 43, 1.43
2018-06-22 05:01:06, Tunis, 33.8869, 9.5375, None, None, None, None, None, None, 0, 352.3, 1, ['0', '%'], 15, 5, 8, -2.78
2018-06-22 06:01:09, Vatican, 41.9029, 12.4534, 3442, 4130, 5507, 6884, 11014, 20652, 0.0484, 340.7, 2, ['0', '%'], 206, 40, 75, 3.22
2018-06-22 06:01:13, Venice, 45.4408, 12.3155, 2459, 2950, 3934, 4917, 7867, 14751, 0.0678, 323.1, 57, ['90', '%'], 9, 39, 41, 4.86
2018-06-22 06:01:16, Milan, 45.4642, 9.1901, 4303, 5163, 6884, 8605, 13768, 25815, 0.0387, 330.9, 26, ['83', '%'], 45, 42, 50, 2.98
2018-06-22 06:01:20, Hamburg, 53.5511, 9.9937, 1229, 1475, 1967, 2459, 3934, 7376, 0.1356, 302.4, 35, ['98', '%'], 52, 75, 84, 7.53
2018-06-22 06:01:23, Tirana, 41.3275, 19.8187, 1324, 1589, 2118, 2648, 4236, 7943, 0.1259, 337.3, 8, ['64', '%'], 473, 55, 146, 7.93
2018-06-22 06:01:27, Belgrade, 44.7866, 20.4489, 906, 1087, 1449, 1812, 2899, 5435, 0.184, 325.1, 6, ['59', '%'], 391, 76, 163, 9.76
2018-06-22 06:01:30, Budapest, 47.4979, 19.0402, 861, 1033, 1377, 1721, 2754, 5163, 0.1937, 314.1, 87, ['0', '%'], 0, 23, 23, 9.96
2018-06-22 06:01:33, Warsaw, 52.2297, 21.0122, 538, 645, 861, 1076, 1721, 3227, 0.3099, 312.6, 72, ['33', '%'], 3, 66, 67, 12.98
2018-06-22 06:01:37, Alexandria, 31.2001, 29.9187, 615, 738, 983, 1229, 1967, 3688, 0.2712, 305, 2, ['0', '%'], 416, 88, 199, 11.67
2018-06-22 07:01:40, Istanbul, 41.0082, 28.9784, 430, 516, 688, 861, 1377, 2582, 0.3874, 336.8, 87, ['0', '%'], 6, 36, 36, 14.27
2018-06-22 07:01:43, Odesa, 46.4825, 30.7233, 278, 333, 444, 555, 888, 1665, 0.6004, 310.2, 33, ['0', '%'], 92, 169, 201, 17.13
2018-06-22 07:01:46, Kiev, 50.4501, 30.5234, 242, 291, 388, 485, 776, 1454, 0.6876, 305.5, 38, ['0', '%'], 61, 172, 193, 18.08
2018-06-22 07:01:49, St.Peterburg, 59.9343, 30.3351, 224, 268, 358, 447, 715, 1341, 0.7457, 351.7, 96, ['98', '%'], 4, 15, 15, 20.23
