Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-17 13:33:22, Herzliya, 32.1592, 34.8071, 15, 19, 25, 31, 49, 93, 303.9, 0, 907, 157, 1021, 75.6°
2018-06-17 11:33:26, Dakar, 14.7167, 17.4677, 13, 16, 21, 26, 42, 79, 276.9, 3, 913, 162, 1060, 52.0°
2018-06-17 11:33:28, Conakry, 9.6412, 13.5784, 13, 16, 22, 27, 43, 81, 268.4, 64, 4, 362, 366, 53.3°
2018-06-17 13:33:32, Nairobi, -1.2921, 36.8219, 16, 19, 25, 31, 50, 93, 247.5, 65, 4, 326, 330, 61.4°
2018-06-17 11:33:35, Oran, 35.6971, -0.6308, 19, 23, 31, 38, 61, 115, 322.3, 1, 905, 156, 1002, 67.0°
2018-06-17 12:33:38, Valencia, 39.4699, -0.3763, 20, 24, 32, 40, 63, 119, 325, 0, 927, 144, 999, 65.3°
2018-06-17 12:33:41, Bordeaux, 44.8378, -0.5792, 24, 28, 38, 47, 75, 141, 348.4, 27, 262, 466, 702, 61.8°
2018-06-17 12:33:43, Paris, 48.8566, 2.3522, 24, 29, 38, 48, 77, 144, 347.1, 52, 20, 426, 445, 60.3°
2018-06-17 11:33:46, London, 51.8074, -0.1278, 30, 36, 48, 60, 95, 179, 378.2, 36, 123, 482, 586, 57.2°
2018-06-17 11:33:49, Tunis, 33.8869, 9.5375, 18, 22, 29, 37, 59, 110, 345.2, 0, 910, 159, 1043, 73.3°
2018-06-17 12:33:52, Vatican, 41.9029, 12.4534, 20, 24, 32, 40, 64, 119, 347.8, 8, 908, 153, 1008, 69.9°
2018-06-17 12:33:56, Venice, 45.4408, 12.3155, 21, 25, 33, 42, 67, 125, 344.4, 5, 907, 150, 984, 66.7°
2018-06-17 12:33:59, Milan, 45.4642, 9.1901, 21, 25, 33, 42, 67, 125, 339.2, 1, 881, 161, 969, 65.7°
2018-06-17 12:34:01, Hamburg, 53.5511, 9.9937, 24, 29, 39, 49, 78, 146, 336.3, 31, 177, 473, 626, 58.6°
2018-06-17 12:34:04, Tirana, 41.3275, 19.8187, 19, 23, 30, 38, 60, 113, 342.3, 38, 102, 534, 631, 72.0°
2018-06-17 12:34:07, Belgrade, 44.7866, 20.4489, 19, 23, 31, 39, 62, 116, 335.2, 4, 822, 190, 951, 68.5°
2018-06-17 12:34:10, Budapest, 47.4979, 19.0402, 21, 26, 34, 43, 69, 129, 347, 10, 894, 152, 965, 65.8°
2018-06-17 12:34:12, Warsaw, 52.2297, 21.0122, 23, 28, 37, 46, 74, 139, 343.9, 18, 462, 353, 756, 61.2°
2018-06-17 12:34:16, Alexandria, 31.2001, 29.9187, 14, 17, 22, 28, 44, 83, 288.4, 1, 911, 160, 1046, 79.3°
2018-06-17 13:34:19, Istanbul, 41.0082, 28.9784, 18, 22, 29, 37, 59, 110, 334.9, 90, 27, 98, 98, 71.3°
2018-06-17 13:34:22, Odesa, 46.4825, 30.7233, 21, 25, 34, 42, 68, 127, 343, 63, 5, 339, 344, 65.8°
2018-06-17 13:34:25, Kiev, 50.4501, 30.5234, 23, 28, 37, 47, 75, 141, 354.1, 62, 6, 338, 343, 62.1°
2018-06-17 13:34:28, St.Peterburg, 59.9343, 30.3351, 30, 36, 47, 59, 95, 178, 338.5, 25, 285, 388, 613, 52.9°
