Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 18:09:27, Herzliya, 32.1592, 34.8071, 210, 252, 336, 420, 672, 1259, 0.794, 295.2, 5, ['0', '%'], 539, 87, 250, 19.06
2018-06-23 16:09:31, Dakar, 14.7167, 17.4677, 80, 97, 129, 161, 257, 483, 2.0723, 281.7, 10, ['0', '%'], 697, 106, 433, 29.19
2018-06-23 16:09:35, Conakry, 9.6412, 13.5784, 71, 86, 114, 143, 229, 429, 2.3337, 271.8, 24, ['0', '%'], 733, 108, 469, 30.99
2018-06-23 18:09:38, Nairobi, -1.2921, 36.8219, 1721, 2065, 2754, 3442, 5508, 10327, 0.0968, 251.4, 45, ['67', '%'], 12, 27, 29, 5.4
2018-06-23 16:09:44, Oran, 35.6971, -0.6308, 32, 39, 52, 65, 104, 194, 5.1516, 321.7, 9, ['0', '%'], 650, 208, 680, 48.46
2018-06-23 17:09:48, Valencia, 39.4699, -0.3763, 33, 40, 54, 67, 107, 201, 4.9773, 319, 2, ['0', '%'], 859, 125, 743, 47.84
2018-06-23 17:09:51, Bordeaux, 44.8378, -0.5792, 35, 42, 57, 71, 113, 212, 4.7061, 323.2, 2, ['0', '%'], 877, 119, 739, 46.94
2018-06-23 17:09:55, Paris, 48.8566, 2.3522, 40, 48, 65, 81, 129, 242, 4.1251, 322.7, 11, ['0', '%'], 600, 208, 609, 43.97
2018-06-23 16:09:59, London, 51.8074, -0.1278, 39, 47, 62, 78, 124, 233, 4.2994, 323.8, 35, None, 121, 378, 461, 44.56
2018-06-23 16:10:02, Tunis, 33.8869, 9.5375, 49, 59, 79, 99, 158, 296, 3.3795, 336.6, 2, ['0', '%'], 757, 136, 607, 40.06
2018-06-23 17:10:06, Vatican, 41.9029, 12.4534, 52, 63, 84, 105, 168, 315, 3.1762, 308.2, 39, ['31', '%'], 75, 311, 354, 37.9
2018-06-23 17:10:09, Venice, 45.4408, 12.3155, 61, 73, 97, 121, 194, 364, 2.7501, 350.6, 8, ['0', '%'], 806, 112, 585, 37.82
2018-06-23 17:10:12, Milan, 45.4642, 9.1901, 50, 61, 81, 101, 162, 303, 3.302, 328.7, 7, ['0', '%'], 831, 112, 624, 40.0
2018-06-23 17:10:16, Hamburg, 53.5511, 9.9937, 65, 78, 104, 129, 207, 388, 2.5758, 390.7, 59, ['32', '%'], 8, 234, 239, 38.15
2018-06-23 17:10:19, Tirana, 41.3275, 19.8187, 76, 92, 122, 153, 245, 459, 2.1788, 327.9, 2, ['0', '%'], 713, 118, 482, 32.34
2018-06-23 17:10:22, Belgrade, 44.7866, 20.4489, 74, 89, 118, 148, 236, 443, 2.2562, 316.7, 7, ['0', '%'], 636, 139, 459, 32.06
2018-06-23 17:10:25, Budapest, 47.4979, 19.0402, 69, 83, 111, 139, 222, 416, 2.4015, 317.7, 35, ['0', '%'], 113, 274, 333, 33.07
2018-06-23 17:10:28, Warsaw, 52.2297, 21.0122, 88, 106, 141, 177, 282, 530, 1.8883, 349.6, 48, ['32', '%'], 32, 239, 255, 31.69
2018-06-23 17:10:32, Alexandria, 31.2001, 29.9187, 155, 186, 248, 310, 496, 930, 1.0749, 297.2, 5, ['0', '%'], 661, 86, 324, 22.6
2018-06-23 18:10:36, Istanbul, 41.0082, 28.9784, 131, 158, 210, 263, 420, 788, 1.2685, 329.9, 44, ['0', '%'], 37, 188, 202, 25.41
2018-06-23 18:10:39, Odesa, 46.4825, 30.7233, 128, 154, 206, 257, 411, 771, 1.2976, 321.6, 15, ['0', '%'], 383, 158, 308, 25.02
2018-06-23 18:10:42, Kiev, 50.4501, 30.5234, 124, 149, 198, 248, 396, 743, 1.346, 311.7, 62, ['88', '%'], 5, 140, 142, 25.65
2018-06-23 18:10:45, St.Peterburg, 59.9343, 30.3351, 118, 141, 189, 236, 377, 707, 1.4138, 322.1, 30, ['0', '%'], 149, 217, 280, 26.41
