Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-06 15:28:58, Herzliya, 32.1592, 34.8071, 31, 37, 50, 62, 99, 186, 341.9, 1, 883, 139, 850, 51.4°
2018-06-06 13:29:01, Dakar, 14.7167, 17.4677, 16, 20, 26, 33, 52, 98, 278, 0, 936, 146, 1011, 77.7°
2018-06-06 13:29:04, Conakry, 9.6412, 13.5784, 16, 19, 25, 31, 50, 94, 273.8, 4, 806, 202, 952, 75.6°
2018-06-06 15:29:07, Nairobi, -1.2921, 36.8219, 33, 40, 53, 67, 107, 200, 242.9, 55, 15, 325, 336, 40.6°
2018-06-06 13:29:10, Oran, 35.6971, -0.6308, 17, 20, 27, 34, 54, 102, 329, 2, 882, 179, 1031, 75.6°
2018-06-06 14:29:12, Valencia, 39.4699, -0.3763, 18, 22, 29, 36, 58, 108, 333.3, 49, 44, 490, 532, 72.1°
2018-06-06 14:29:15, Bordeaux, 44.8378, -0.5792, 20, 24, 32, 39, 63, 118, 335, 31, 180, 514, 681, 67.1°
2018-06-06 14:29:18, Paris, 48.8566, 2.3522, 22, 27, 36, 45, 71, 134, 340.5, 39, 98, 491, 578, 62.6°
2018-06-06 13:29:20, London, 51.8074, -0.1278, 23, 28, 37, 47, 74, 140, 338.4, 0, 940, 133, 948, 60.6°
2018-06-06 13:29:23, Tunis, 33.8869, 9.5375, 18, 21, 29, 36, 57, 107, 327.8, 1, 879, 173, 1012, 69.1°
2018-06-06 14:29:26, Vatican, 41.9029, 12.4534, 22, 26, 35, 43, 69, 130, 344.7, 3, 843, 178, 942, 64.5°
2018-06-06 14:29:29, Venice, 45.4408, 12.3155, 23, 28, 38, 47, 75, 141, 355.5, 72, 1, 262, 263, 62.0°
2018-06-06 14:29:31, Milan, 45.4642, 9.1901, 22, 27, 35, 44, 71, 133, 344.6, 25, 301, 452, 722, 63.4°
2018-06-06 14:29:33, Hamburg, 53.5511, 9.9937, 25, 30, 40, 50, 80, 150, 327.8, 5, 912, 136, 895, 56.3°
2018-06-06 14:29:36, Tirana, 41.3275, 19.8187, 23, 28, 37, 46, 74, 138, 335.6, 50, 41, 435, 472, 60.3°
2018-06-06 14:29:39, Belgrade, 44.7866, 20.4489, 27, 33, 43, 54, 87, 163, 368.5, 4, 798, 187, 871, 58.1°
2018-06-06 14:29:42, Budapest, 47.4979, 19.0402, 26, 32, 42, 53, 84, 158, 351.4, 78, 132, 196, 197, 57.2°
2018-06-06 14:29:45, Warsaw, 52.2297, 21.0122, 28, 34, 45, 56, 90, 169, 333.1, 1, 918, 129, 868, 53.1°
2018-06-06 14:29:50, Alexandria, 31.2001, 29.9187, 26, 31, 41, 52, 83, 155, 328.3, 1, 909, 140, 911, 55.5°
2018-06-06 15:29:53, Istanbul, 41.0082, 28.9784, 28, 34, 46, 57, 91, 171, 346.5, 8, 873, 146, 868, 54.2°
2018-06-06 15:29:56, Odesa, 46.4825, 30.7233, 31, 37, 50, 62, 100, 187, 342.1, 20, 402, 346, 661, 50.9°
2018-06-06 15:29:58, Kiev, 50.4501, 30.5234, 33, 39, 52, 65, 104, 196, 335.2, 2, 897, 120, 765, 49.3°
2018-06-06 15:30:01, St.Peterburg, 59.9343, 30.3351, 49, 59, 79, 99, 158, 297, 401.7, 38, 95, 365, 428, 44.2°
