Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-24 07:09:50, Herzliya, 32.1592, 34.8071, 265, 318, 424, 530, 847, 1589, 0.6294, 295.2, 3, ['0', '%'], 539, 97, 278, 17.47
2018-06-24 05:09:55, Dakar, 14.7167, 17.4677, None, None, None, None, None, None, 0, 281.7, 32, ['0', '%'], 3, 4, 4, -3.71
2018-06-24 05:09:58, Conakry, 9.6412, 13.5784, None, None, None, None, None, None, 0, 271.8, 21, ['25', '%'], 0, 0, 0, -9.33
2018-06-24 07:10:01, Nairobi, -1.2921, 36.8219, 1013, 1215, 1620, 2025, 3240, 6075, 0.1646, 245.5, 2, ['53', '%'], 404, 46, 118, 7.38
2018-06-24 05:10:05, Oran, 35.6971, -0.6308, None, None, None, None, None, None, 0, 303.7, 0, ['0', '%'], 0, 0, 0, -7.31
2018-06-24 06:10:09, Valencia, 39.4699, -0.3763, None, None, None, None, None, None, 0, 325.6, 50, ['0', '%'], 3, 3, 3, -4.93
2018-06-24 06:10:12, Bordeaux, 44.8378, -0.5792, None, None, None, None, None, None, 0, 325.7, 6, ['0', '%'], 8, 5, 6, -1.87
2018-06-24 06:10:16, Paris, 48.8566, 2.3522, 4303, 5164, 6885, 8606, 13770, 25819, 0.0387, 322.7, 26, ['0', '%'], 22, 25, 29, 2.1
2018-06-24 05:10:19, London, 51.8074, -0.1278, 4303, 5164, 6885, 8606, 13770, 25819, 0.0387, 328.8, 27, None, 22, 27, 31, 2.51
2018-06-24 05:10:22, Tunis, 33.8869, 9.5375, None, None, None, None, None, None, 0, 336.6, 1, ['0', '%'], 12, 6, 8, -1.21
2018-06-24 06:10:26, Vatican, 41.9029, 12.4534, 2459, 2951, 3934, 4918, 7869, 14754, 0.0678, 341.3, 16, ['0', '%'], 208, 40, 75, 4.65
2018-06-24 06:10:29, Venice, 45.4408, 12.3155, 1721, 2066, 2754, 3443, 5508, 10328, 0.0968, 349.6, 6, ['0', '%'], 286, 45, 94, 6.21
2018-06-24 06:10:33, Milan, 45.4642, 9.1901, 2459, 2951, 3934, 4918, 7869, 14754, 0.0678, 328.7, 27, ['0', '%'], 44, 42, 49, 4.3
2018-06-24 06:10:37, Hamburg, 53.5511, 9.9937, 1148, 1377, 1836, 2295, 3672, 6885, 0.1452, 358.8, 58, ['84', '%'], 6, 50, 51, 8.66
2018-06-24 06:10:40, Tirana, 41.3275, 19.8187, 906, 1087, 1450, 1812, 2899, 5436, 0.184, 321.3, 2, ['0', '%'], 461, 57, 145, 9.44
2018-06-24 06:10:44, Belgrade, 44.7866, 20.4489, 662, 794, 1059, 1324, 2119, 3972, 0.2517, 338, 4, ['0', '%'], 527, 61, 177, 11.2
2018-06-24 06:10:48, Budapest, 47.4979, 19.0402, 717, 861, 1148, 1434, 2295, 4303, 0.2324, 369, 5, ['0', '%'], 418, 75, 169, 11.33
2018-06-24 06:10:52, Warsaw, 52.2297, 21.0122, 492, 590, 787, 984, 1574, 2951, 0.3389, 390.5, 90, ['57', '%'], 30, 23, 23, 14.23
2018-06-24 06:10:56, Alexandria, 31.2001, 29.9187, 441, 530, 706, 883, 1412, 2648, 0.3776, 293.8, 1, ['0', '%'], 463, 82, 205, 13.44
2018-06-24 07:11:00, Istanbul, 41.0082, 28.9784, 374, 449, 599, 748, 1197, 2245, 0.4454, 329.5, 92, ['23', '%'], 195, 18, 18, 15.85
2018-06-24 07:11:04, Odesa, 46.4825, 30.7233, 257, 308, 411, 514, 822, 1541, 0.6487, 321.6, 1, ['0', '%'], 681, 77, 309, 18.59
2018-06-24 07:11:08, Kiev, 50.4501, 30.5234, 224, 268, 358, 447, 715, 1341, 0.7456, 311.7, 75, ['0', '%'], 1, 81, 82, 19.44
2018-06-24 07:11:11, St.Peterburg, 59.9343, 30.3351, 187, 225, 299, 374, 599, 1123, 0.8908, 324.2, 90, ['0', '%'], 3, 35, 35, 21.31
