Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-12 15:03:17, Herzliya, 32.1592, 34.8071, 22, 27, 36, 45, 71, 134, 304.4, 6, 866, 143, 844, 57.3°
2018-06-12 13:03:25, Dakar, 14.7167, 17.4677, 15, 18, 24, 29, 47, 88, 275.7, 0, 920, 150, 998, 72.2°
2018-06-12 13:03:29, Conakry, 9.6412, 13.5784, 15, 18, 24, 29, 47, 88, 275.5, 52, 20, 455, 474, 71.7°
2018-06-12 15:03:32, Nairobi, -1.2921, 36.8219, 26, 31, 42, 52, 84, 157, 242.8, 9, 738, 174, 680, 45.9°
2018-06-12 13:03:34, Oran, 35.6971, -0.6308, 16, 19, 26, 32, 51, 96, 319.4, 0, 936, 153, 1060, 77.5°
2018-06-12 14:03:37, Valencia, 39.4699, -0.3763, 18, 21, 29, 36, 57, 107, 335.9, 2, 895, 168, 1019, 73.7°
2018-06-12 14:03:40, Bordeaux, 44.8378, -0.5792, 21, 25, 34, 42, 68, 127, 361.9, 40, 77, 520, 591, 68.3°
2018-06-12 14:03:43, Paris, 48.8566, 2.3522, 21, 25, 33, 42, 67, 125, 334, 76, 1, 231, 232, 64.2°
2018-06-12 13:03:46, London, 51.8074, -0.1278, 24, 28, 38, 47, 76, 142, 350.9, 65, 4, 329, 332, 61.7°
2018-06-12 13:03:49, Tunis, 33.8869, 9.5375, 15, 18, 25, 31, 49, 92, 302.5, 0, 916, 156, 1035, 73.3°
2018-06-12 14:03:53, Vatican, 41.9029, 12.4534, 18, 22, 29, 36, 58, 108, 315.8, 7, 742, 228, 905, 68.2°
2018-06-12 14:03:56, Venice, 45.4408, 12.3155, 19, 23, 31, 39, 62, 116, 318, 33, 144, 497, 626, 65.2°
2018-06-12 14:03:59, Milan, 45.4642, 9.1901, 19, 23, 31, 38, 61, 115, 321.5, 33, 168, 492, 643, 66.2°
2018-06-12 14:04:02, Hamburg, 53.5511, 9.9937, 25, 29, 39, 49, 79, 147, 338.1, 59, 8, 356, 363, 58.5°
2018-06-12 14:04:05, Tirana, 41.3275, 19.8187, 20, 24, 32, 40, 65, 121, 325, 1, 896, 150, 938, 64.8°
2018-06-12 14:04:08, Belgrade, 44.7866, 20.4489, 21, 26, 34, 43, 68, 128, 327.6, 3, 898, 143, 917, 62.1°
2018-06-12 14:04:11, Budapest, 47.4979, 19.0402, 23, 27, 36, 45, 72, 136, 330.2, 7, 895, 143, 906, 60.8°
2018-06-12 14:04:14, Warsaw, 52.2297, 21.0122, 26, 32, 42, 53, 85, 159, 343.9, 1, 867, 145, 851, 56.4°
2018-06-12 14:04:18, Alexandria, 31.2001, 29.9187, 20, 24, 32, 40, 64, 121, 306.7, 4, 812, 176, 867, 61.3°
2018-06-12 15:04:21, Istanbul, 41.0082, 28.9784, 24, 29, 39, 48, 77, 145, 341.1, 0, 906, 137, 888, 59.1°
2018-06-12 15:04:24, Odesa, 46.4825, 30.7233, 27, 32, 43, 54, 86, 162, 340.8, 7, 872, 138, 831, 55.4°
2018-06-12 15:04:27, Kiev, 50.4501, 30.5234, 30, 36, 48, 60, 96, 180, 352.4, 15, 505, 293, 686, 53.3°
2018-06-12 15:04:31, St.Peterburg, 59.9343, 30.3351, 36, 43, 58, 72, 115, 216, 340.9, 59, 15, 290, 301, 47.2°
