Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI, DHI, GHI, Sun Altitude (Degree)
2018-06-06 12:13:00, Herzliya, 32.1592, 34.8071, 17, 21, 28, 34, 55, 103, 341.9, 0, 926, 159, 1063, 78.9°
2018-06-06 10:13:04, Dakar, 14.7167, 17.4677, 16, 20, 26, 33, 52, 98, 278, 0, 933, 144, 1001, 34.1°
2018-06-06 10:13:07, Conakry, 9.6412, 13.5784, 18, 22, 29, 36, 57, 108, 273.8, 3, 903, 144, 933, 35.8°
2018-06-06 12:13:09, Nairobi, -1.2921, 36.8219, 14, 17, 22, 28, 44, 83, 242.9, 39, 100, 532, 623, 65.7°
2018-06-06 10:13:12, Oran, 35.6971, -0.6308, 30, 36, 48, 59, 95, 178, 329, 5, 812, 165, 810, 51.4°
2018-06-06 11:13:15, Valencia, 39.4699, -0.3763, 31, 37, 50, 62, 100, 187, 333.3, 6, 780, 179, 789, 51.0°
2018-06-06 11:13:17, Bordeaux, 44.8378, -0.5792, 33, 39, 52, 65, 104, 196, 335, 59, 8, 320, 326, 49.4°
2018-06-06 11:13:19, Paris, 48.8566, 2.3522, 33, 40, 53, 67, 106, 200, 340.5, 55, 16, 349, 361, 49.7°
2018-06-06 10:13:22, London, 51.8074, -0.1278, 37, 45, 60, 74, 119, 223, 338.4, 3, 902, 120, 788, 47.1°
2018-06-06 10:13:25, Tunis, 33.8869, 9.5375, 23, 28, 37, 46, 73, 138, 327.8, 14, 898, 145, 926, 59.7°
2018-06-06 11:13:29, Vatican, 41.9029, 12.4534, 24, 29, 39, 49, 78, 146, 344.7, 18, 906, 141, 922, 59.2°
2018-06-06 11:13:32, Venice, 45.4408, 12.3155, 27, 32, 43, 54, 86, 161, 355.5, 7, 890, 141, 894, 57.3°
2018-06-06 11:13:35, Milan, 45.4642, 9.1901, 27, 33, 44, 55, 88, 164, 344.6, 27, 270, 417, 642, 55.4°
2018-06-06 11:13:38, Hamburg, 53.5511, 9.9937, 29, 35, 47, 59, 94, 177, 327.8, 4, 899, 128, 831, 51.1°
2018-06-06 11:13:41, Tirana, 41.3275, 19.8187, 21, 26, 34, 43, 68, 128, 335.6, 3, 834, 180, 934, 64.1°
2018-06-06 11:13:44, Belgrade, 44.7866, 20.4489, 25, 29, 39, 49, 78, 147, 368.5, 4, 908, 145, 950, 62.1°
2018-06-06 11:13:46, Budapest, 47.4979, 19.0402, 25, 30, 40, 50, 80, 150, 351.4, 8, 711, 227, 843, 59.5°
2018-06-06 11:13:49, Warsaw, 52.2297, 21.0122, 26, 31, 41, 51, 82, 153, 333.1, 1, 918, 134, 903, 56.6°
2018-06-06 11:13:52, Alexandria, 31.2001, 29.9187, 17, 20, 27, 34, 54, 101, 328.3, 0, 928, 157, 1059, 76.8°
2018-06-06 12:13:54, Istanbul, 41.0082, 28.9784, 20, 24, 32, 40, 64, 121, 346.5, 6, 908, 154, 1002, 69.0°
2018-06-06 12:13:56, Odesa, 46.4825, 30.7233, 21, 26, 34, 43, 69, 129, 342.1, 5, 787, 202, 913, 64.7°
2018-06-06 12:13:59, Kiev, 50.4501, 30.5234, 23, 28, 37, 46, 74, 138, 335.2, 16, 546, 319, 798, 61.0°
2018-06-06 12:14:02, St.Peterburg, 59.9343, 30.3351, 37, 45, 60, 75, 120, 224, 401.7, 35, 166, 411, 542, 52.0°
