Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 14:08:05, Herzliya, 32.1592, 34.8071, 16, 20, 26, 33, 52, 98, 10.1966, 295.2, 0, ['0', '%'], 893, 154, 978, 69.4
2018-06-23 12:08:09, Dakar, 14.7167, 17.4677, 13, 16, 21, 27, 43, 80, 12.4432, 281.7, 25, ['0', '%'], 273, 508, 775, 80.57
2018-06-23 12:08:13, Conakry, 9.6412, 13.5784, 13, 16, 21, 27, 43, 80, 12.511, 271.8, 59, ['95', '%'], 8, 415, 424, 76.21
2018-06-23 14:08:16, Nairobi, -1.2921, 36.8219, 18, 22, 29, 36, 58, 109, 9.1605, 251.4, 27, ['0', '%'], 269, 430, 650, 56.52
2018-06-23 12:08:20, Oran, 35.6971, -0.6308, 17, 21, 28, 34, 55, 103, 9.6641, 321.7, 1, ['0', '%'], 905, 159, 1027, 72.62
2018-06-23 13:08:23, Valencia, 39.4699, -0.3763, 18, 21, 28, 35, 56, 106, 9.4413, 319, 0, ['0', '%'], 923, 149, 1021, 70.08
2018-06-23 13:08:26, Bordeaux, 44.8378, -0.5792, 20, 24, 31, 39, 63, 118, 8.473, 323.2, 0, ['0', '%'], 931, 141, 994, 65.68
2018-06-23 13:08:29, Paris, 48.8566, 2.3522, 20, 25, 33, 41, 65, 123, 8.1438, 322.7, 2, ['0', '%'], 865, 161, 934, 63.08
2018-06-23 12:08:33, London, 51.8074, -0.1278, 23, 27, 36, 45, 73, 136, 7.3497, 323.8, 10, None, 695, 238, 843, 59.74
2018-06-23 12:08:35, Tunis, 33.8869, 9.5375, 17, 20, 27, 34, 54, 102, 9.8384, 336.6, 0, ['0', '%'], 907, 161, 1047, 78.97
2018-06-23 13:08:39, Vatican, 41.9029, 12.4534, 17, 20, 27, 33, 53, 100, 10.0127, 308.2, 28, ['0', '%'], 228, 507, 722, 71.51
2018-06-23 13:08:42, Venice, 45.4408, 12.3155, 21, 25, 33, 42, 67, 125, 7.9985, 350.6, 6, ['0', '%'], 912, 148, 990, 67.97
2018-06-23 13:08:45, Milan, 45.4642, 9.1901, 19, 23, 31, 39, 62, 116, 8.657, 328.7, 5, ['0', '%'], 806, 200, 945, 67.7
2018-06-23 13:08:49, Hamburg, 53.5511, 9.9937, 28, 34, 45, 57, 91, 170, 5.8682, 390.7, 57, ['93', '%'], 11, 382, 393, 59.76
2018-06-23 13:08:51, Tirana, 41.3275, 19.8187, 18, 21, 29, 36, 57, 107, 9.3058, 327.9, 20, ['95', '%'], 428, 406, 808, 71.32
2018-06-23 13:08:55, Belgrade, 44.7866, 20.4489, 18, 22, 29, 37, 59, 110, 9.054, 316.7, 30, ['0', '%'], 202, 506, 692, 67.89
2018-06-23 13:08:59, Budapest, 47.4979, 19.0402, 19, 23, 31, 38, 62, 115, 8.6667, 317.7, 43, ['0', '%'], 55, 501, 550, 65.52
2018-06-23 13:09:03, Warsaw, 52.2297, 21.0122, 24, 29, 39, 48, 78, 145, 6.8752, 349.6, 36, ['95', '%'], 190, 424, 588, 60.62
2018-06-23 13:09:08, Alexandria, 31.2001, 29.9187, 15, 19, 25, 31, 49, 93, 10.7776, 297.2, 0, ['0', '%'], 903, 156, 1013, 73.41
2018-06-23 14:09:11, Istanbul, 41.0082, 28.9784, 19, 23, 30, 38, 61, 114, 8.7829, 329.9, 37, ['89', '%'], 105, 518, 615, 68.09
2018-06-23 14:09:15, Odesa, 46.4825, 30.7233, 20, 24, 33, 41, 65, 122, 8.1728, 321.6, 48, ['62', '%'], 28, 447, 471, 63.05
2018-06-23 14:09:20, Kiev, 50.4501, 30.5234, 22, 26, 35, 43, 69, 130, 7.6983, 311.7, 73, ['54', '%'], 1, 245, 246, 59.86
2018-06-23 14:09:24, St.Peterburg, 59.9343, 30.3351, 29, 35, 46, 58, 93, 174, 5.7423, 322.1, 30, ['0', '%'], 191, 416, 563, 51.6
