Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-24 12:11:52, Herzliya, 32.1592, 34.8071, 14, 17, 23, 29, 46, 87, 11.5224, 295.2, 1, 0, 912, 160, 1052, 78.79
2018-06-24 10:11:56, Dakar, 14.7167, 17.4677, 17, 20, 27, 34, 54, 102, 9.8182, 281.7, 1, 0, 877, 155, 955, 64.63
2018-06-24 10:12:00, Conakry, 9.6412, 13.5784, 19, 23, 30, 38, 60, 113, 8.85, 271.8, 19, 68, 436, 358, 737, 58.95
2018-06-24 12:12:03, Nairobi, -1.2921, 36.8219, 14, 17, 23, 29, 46, 86, 11.5998, 245.5, 29, 0, 238, 490, 704, 64.64
2018-06-24 10:12:07, Oran, 35.6971, -0.6308, 28, 34, 45, 56, 90, 168, 5.9548, 303.7, 1, 0, 875, 133, 825, 50.72
2018-06-24 11:12:10, Valencia, 39.4699, -0.3763, 30, 36, 49, 61, 97, 182, 5.4804, 325.6, 6, 0, 759, 179, 773, 50.37
2018-06-24 11:12:16, Bordeaux, 44.8378, -0.5792, 33, 39, 53, 66, 105, 197, 5.0737, 325.7, 7, 0, 730, 186, 749, 48.96
2018-06-24 11:12:20, Paris, 48.8566, 2.3522, 31, 37, 50, 62, 100, 187, 5.3351, 322.7, 5, 0, 763, 172, 763, 49.45
2018-06-24 10:12:25, London, 51.8074, -0.1278, 36, 43, 58, 72, 115, 217, 4.6186, 328.8, 2, None, 843, 136, 761, 46.8
2018-06-24 10:12:28, Tunis, 33.8869, 9.5375, 24, 29, 38, 48, 76, 143, 7.0102, 336.6, 0, 0, 878, 146, 910, 59.31
2018-06-24 11:12:31, Vatican, 41.9029, 12.4534, 25, 30, 40, 50, 80, 149, 6.7004, 341.3, 1, 0, 889, 145, 910, 58.88
2018-06-24 11:12:35, Venice, 45.4408, 12.3155, 26, 32, 42, 53, 84, 158, 6.3421, 349.6, 10, 26, 658, 241, 801, 57.07
2018-06-24 11:12:38, Milan, 45.4642, 9.1901, 26, 31, 41, 52, 83, 156, 6.4293, 328.7, 6, 0, 764, 188, 825, 55.16
2018-06-24 11:12:41, Hamburg, 53.5511, 9.9937, 33, 39, 53, 66, 105, 197, 5.064, 358.8, 50, 96, 26, 393, 414, 51.18
2018-06-24 11:12:45, Tirana, 41.3275, 19.8187, 20, 24, 33, 41, 65, 122, 8.1722, 321.3, 10, 0, 699, 246, 878, 63.91
2018-06-24 11:12:48, Belgrade, 44.7866, 20.4489, 22, 27, 35, 44, 71, 133, 7.5137, 338, 8, 0, 907, 143, 949, 62.07
2018-06-24 11:12:52, Budapest, 47.4979, 19.0402, 27, 32, 43, 53, 85, 160, 6.2647, 369, 26, 0, 285, 437, 684, 59.51
2018-06-24 11:12:56, Warsaw, 52.2297, 21.0122, 31, 37, 49, 62, 99, 185, 5.3932, 390.5, 63, 96, 6, 326, 332, 56.84
2018-06-24 11:13:00, Alexandria, 31.2001, 29.9187, 15, 18, 23, 29, 47, 88, 11.3674, 293.8, 0, 0, 900, 162, 1038, 76.42
2018-06-24 12:13:04, Istanbul, 41.0082, 28.9784, 19, 22, 30, 37, 60, 112, 8.9274, 329.5, 51, 0, 21, 462, 482, 69.09
2018-06-24 12:13:07, Odesa, 46.4825, 30.7233, 20, 23, 31, 39, 62, 117, 8.5401, 321.6, 4, 0, 914, 144, 976, 65.08
2018-06-24 12:13:11, Kiev, 50.4501, 30.5234, 21, 25, 33, 41, 66, 123, 8.1044, 311.7, 46, 0, 40, 469, 504, 61.42
2018-06-24 12:13:17, St.Peterburg, 59.9343, 30.3351, 28, 34, 45, 56, 90, 169, 5.9064, 324.2, 69, 0, 3, 255, 257, 52.52
