Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-22 15:03:48, Herzliya, 32.1592, 34.8071, 22, 26, 35, 44, 70, 131, 7.6312, 299.3, 1, ['0', '%'], 870, 141, 850, 57.87
2018-06-22 13:03:52, Dakar, 14.7167, 17.4677, 15, 18, 24, 30, 47, 89, 11.2434, 280, 20, ['0', '%'], 893, 155, 983, 71.06
2018-06-22 13:03:56, Conakry, 9.6412, 13.5784, 15, 18, 23, 29, 47, 88, 11.3596, 274.8, 32, ['95', '%'], 163, 519, 670, 70.82
2018-06-22 15:04:00, Nairobi, -1.2921, 36.8219, 27, 32, 43, 54, 86, 161, 6.2076, 256.2, 26, ['0', '%'], 307, 341, 554, 46.19
2018-06-22 13:04:04, Oran, 35.6971, -0.6308, 17, 20, 26, 33, 53, 99, 10.1007, 326.5, 1, ['0', '%'], 889, 170, 1033, 77.74
2018-06-22 14:04:08, Valencia, 39.4699, -0.3763, 17, 20, 27, 34, 54, 102, 9.8005, 321.7, 0, ['0', '%'], 929, 150, 1038, 73.97
2018-06-22 14:04:11, Bordeaux, 44.8378, -0.5792, 18, 22, 29, 37, 59, 110, 9.0838, 320, 0, ['0', '%'], 934, 142, 1008, 68.6
2018-06-22 14:04:14, Paris, 48.8566, 2.3522, 20, 24, 32, 40, 65, 121, 8.2607, 324.8, 19, ['0', '%'], 434, 384, 773, 64.48
2018-06-22 13:04:17, London, 51.8074, -0.1278, 22, 26, 35, 44, 70, 131, 7.6312, 327.9, 0, None, 929, 134, 951, 61.63
2018-06-22 13:04:20, Tunis, 33.8869, 9.5375, 18, 22, 29, 37, 59, 110, 9.1032, 352.3, 2, ['0', '%'], 904, 157, 1026, 76.37
2018-06-22 14:04:23, Vatican, 41.9029, 12.4534, 20, 24, 31, 39, 63, 118, 8.5028, 338.5, 28, ['0', '%'], 238, 485, 703, 68.63
2018-06-22 14:04:26, Venice, 45.4408, 12.3155, 20, 24, 32, 40, 63, 119, 8.4059, 325.3, 45, ['95', '%'], 44, 482, 521, 65.66
2018-06-22 14:04:30, Milan, 45.4642, 9.1901, 19, 23, 31, 38, 61, 115, 8.7158, 321.9, 9, ['0', '%'], 707, 243, 884, 66.61
2018-06-22 14:04:33, Hamburg, 53.5511, 9.9937, 31, 38, 50, 63, 100, 188, 5.3167, 415, 29, ['48', '%'], 219, 445, 631, 58.86
2018-06-22 14:04:36, Tirana, 41.3275, 19.8187, 20, 24, 32, 40, 64, 120, 8.3478, 327.9, 30, ['31', '%'], 206, 477, 660, 65.32
2018-06-22 14:04:39, Belgrade, 44.7866, 20.4489, 20, 25, 33, 41, 65, 123, 8.1445, 316.7, 55, ['95', '%'], 14, 405, 418, 62.64
2018-06-22 14:04:43, Budapest, 47.4979, 19.0402, 21, 25, 34, 42, 67, 126, 7.9217, 317.7, 69, ['47', '%'], 2, 287, 289, 61.31
2018-06-22 14:04:46, Warsaw, 52.2297, 21.0122, 25, 30, 40, 49, 79, 148, 6.7499, 323.1, 24, ['0', '%'], 325, 395, 661, 56.82
2018-06-22 14:04:50, Alexandria, 31.2001, 29.9187, 20, 24, 32, 40, 64, 120, 8.2994, 305, 1, ['0', '%'], 883, 144, 902, 61.91
2018-06-22 15:04:54, Istanbul, 41.0082, 28.9784, 24, 29, 38, 48, 76, 143, 7.0114, 336.8, 3, ['0', '%'], 824, 164, 854, 59.66
2018-06-22 15:04:58, Odesa, 46.4825, 30.7233, 24, 29, 39, 48, 78, 145, 6.8758, 310.2, 23, ['0', '%'], 303, 393, 636, 55.9
2018-06-22 15:05:01, Kiev, 50.4501, 30.5234, 25, 30, 41, 51, 81, 152, 6.5756, 305.5, 71, ['95', '%'], 1, 227, 228, 53.77
2018-06-22 15:05:05, St.Peterburg, 59.9343, 30.3351, 37, 45, 60, 75, 120, 224, 4.4548, 351.7, 18, ['95', '%'], 445, 288, 609, 47.59
