Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 10:06:36, Herzliya, 32.1592, 34.8071, 24, 28, 38, 47, 75, 141, 7.0689, 295.2, 0, ['0', '%'], 883, 139, 879, 54.45
2018-06-23 08:06:41, Dakar, 14.7167, 17.4677, 50, 60, 80, 100, 160, 300, 3.3311, 281.7, 3, ['0', '%'], 756, 133, 600, 36.19
2018-06-23 08:06:44, Conakry, 9.6412, 13.5784, 71, 86, 114, 143, 229, 429, 2.3337, 271.8, 30, ['97', '%'], 772, 108, 528, 30.89
2018-06-23 10:06:48, Nairobi, -1.2921, 36.8219, 26, 31, 42, 52, 84, 157, 6.3523, 251.4, 6, ['0', '%'], 790, 163, 753, 46.24
2018-06-23 08:06:52, Oran, 35.6971, -0.6308, 128, 154, 206, 257, 411, 771, 1.2976, 321.7, 27, ['0', '%'], 216, 231, 332, 25.48
2018-06-23 09:06:56, Valencia, 39.4699, -0.3763, 117, 141, 187, 234, 375, 703, 1.4235, 319, 0, ['0', '%'], 775, 94, 465, 26.38
2018-06-23 09:06:59, Bordeaux, 44.8378, -0.5792, 109, 131, 174, 218, 349, 654, 1.53, 323.2, 0, ['0', '%'], 814, 87, 483, 27.02
2018-06-23 09:07:03, Paris, 48.8566, 2.3522, 93, 112, 149, 186, 298, 558, 1.7914, 322.7, 5, ['0', '%'], 805, 95, 516, 29.37
2018-06-23 08:07:07, London, 51.8074, -0.1278, 109, 131, 174, 218, 349, 654, 1.53, 323.8, 12, None, 521, 169, 430, 27.95
2018-06-23 08:07:10, Tunis, 33.8869, 9.5375, 74, 89, 118, 148, 236, 443, 2.2562, 336.6, 0, ['0', '%'], 789, 110, 569, 33.48
2018-06-23 09:07:13, Vatican, 41.9029, 12.4534, 56, 67, 89, 111, 178, 333, 3.0019, 308.2, 14, ['0', '%'], 512, 218, 538, 36.33
2018-06-23 09:07:17, Venice, 45.4408, 12.3155, 64, 77, 103, 128, 206, 385, 2.5952, 350.6, 7, ['0', '%'], 839, 107, 625, 36.18
2018-06-23 09:07:20, Milan, 45.4642, 9.1901, 72, 86, 115, 144, 230, 432, 2.3143, 328.7, 6, ['62', '%'], 708, 142, 559, 33.99
2018-06-23 09:07:24, Hamburg, 53.5511, 9.9937, 82, 98, 131, 163, 261, 489, 2.0432, 390.7, 51, ['96', '%'], 22, 271, 283, 34.08
2018-06-23 09:07:27, Tirana, 41.3275, 19.8187, 45, 54, 73, 91, 145, 272, 3.67, 327.9, 66, ['96', '%'], 4, 234, 237, 41.9
2018-06-23 09:07:30, Belgrade, 44.7866, 20.4489, 44, 52, 70, 87, 139, 261, 3.825, 316.7, 3, ['0', '%'], 801, 139, 698, 41.99
2018-06-23 09:07:34, Budapest, 47.4979, 19.0402, 46, 55, 74, 92, 147, 276, 3.6216, 317.7, 1, ['0', '%'], 854, 118, 694, 40.63
2018-06-23 09:07:38, Warsaw, 52.2297, 21.0122, 51, 62, 82, 103, 164, 308, 3.2439, 349.6, 13, ['0', '%'], 549, 229, 603, 40.88
2018-06-23 09:07:41, Alexandria, 31.2001, 29.9187, 27, 33, 44, 55, 87, 164, 6.1006, 297.2, 0, ['0', '%'], 870, 134, 825, 50.56
2018-06-23 10:07:45, Istanbul, 41.0082, 28.9784, 33, 40, 53, 67, 107, 200, 4.9966, 329.9, 20, ['0', '%'], 392, 337, 640, 48.82
2018-06-23 10:07:49, Odesa, 46.4825, 30.7233, 32, 39, 52, 65, 104, 194, 5.1516, 321.6, 40, ['84', '%'], 77, 421, 480, 48.63
2018-06-23 10:07:52, Kiev, 50.4501, 30.5234, 32, 39, 52, 65, 104, 195, 5.1322, 311.7, 70, ['96', '%'], 2, 227, 229, 47.11
2018-06-23 10:07:56, St.Peterburg, 59.9343, 30.3351, 42, 51, 68, 85, 136, 254, 3.9315, 322.1, 4, ['0', '%'], 782, 144, 690, 42.73
