Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation, DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-21 16:01:13, Herzliya, 32.1592, 34.8071, 34, 40, 54, 67, 108, 202, 4.9395, 299.3, 4, 0 %, 823, 125, 676, 45.7
2018-06-21 14:01:17, Dakar, 14.7167, 17.4677, 19, 23, 31, 38, 61, 115, 8.7264, 274.2, 20, 0 %, 867, 142, 851, 58.4
2018-06-21 14:01:21, Conakry, 9.6412, 13.5784, 19, 22, 30, 37, 59, 111, 8.9782, 274.8, 34, 95 %, 139, 464, 580, 59.62
2018-06-21 16:01:25, Nairobi, -1.2921, 36.8219, 49, 59, 79, 99, 158, 297, 3.3705, 250.8, 24, 58 %, 275, 255, 397, 34.1
2018-06-21 14:01:28, Oran, 35.6971, -0.6308, 17, 21, 27, 34, 55, 103, 9.7046, 320.5, 2, 0 %, 859, 176, 978, 72.65
2018-06-21 15:01:32, Valencia, 39.4699, -0.3763, 18, 21, 28, 36, 57, 107, 9.3753, 316.8, 0, 0 %, 927, 144, 996, 69.84
2018-06-21 15:01:36, Bordeaux, 44.8378, -0.5792, 19, 23, 30, 38, 61, 114, 8.7651, 314.7, 13, 77 %, 585, 302, 822, 65.65
2018-06-21 15:01:39, Paris, 48.8566, 2.3522, 22, 26, 35, 43, 69, 130, 7.7191, 324.8, 10, 71 %, 911, 137, 916, 61.19
2018-06-21 14:01:42, London, 51.8074, -0.1278, 23, 28, 37, 46, 74, 138, 7.2445, 327.9, 19, None, 449, 357, 737, 59.46
2018-06-21 14:01:45, Tunis, 33.8869, 9.5375, 21, 26, 34, 43, 68, 128, 7.7966, 352.3, 2, 0 %, 897, 147, 943, 66.25
2018-06-21 15:01:49, Vatican, 41.9029, 12.4534, 23, 28, 38, 47, 75, 141, 7.0993, 340.7, 28, 0 %, 884, 142, 883, 60.73
2018-06-21 15:01:53, Venice, 45.4408, 12.3155, 23, 28, 37, 47, 75, 140, 7.1574, 323.1, 7, 0 %, 879, 141, 866, 58.86
2018-06-21 15:01:56, Milan, 45.4642, 9.1901, 23, 27, 36, 45, 72, 136, 7.3608, 330.9, 10, 0 %, 883, 142, 889, 60.57
2018-06-21 15:02:00, Hamburg, 53.5511, 9.9937, 24, 29, 39, 48, 78, 145, 6.8765, 302.4, 51, 92 %, 23, 388, 407, 54.52
2018-06-21 15:02:04, Tirana, 41.3275, 19.8187, 27, 32, 43, 54, 86, 161, 6.2276, 337.3, 3, 68 %, 801, 164, 804, 55.96
2018-06-21 15:02:07, Belgrade, 44.7866, 20.4489, 26, 32, 42, 53, 85, 159, 6.2954, 325.1, 40, 0 %, 74, 428, 484, 54.19
2018-06-21 15:02:11, Budapest, 47.4979, 19.0402, 26, 32, 42, 53, 84, 158, 6.3438, 314.1, 10, 0 %, 662, 219, 730, 53.81
2018-06-21 15:02:15, Warsaw, 52.2297, 21.0122, 29, 35, 46, 58, 93, 174, 5.753, 312.6, 5, 0 %, 771, 161, 726, 50.27
2018-06-21 15:02:19, Alexandria, 31.2001, 29.9187, 29, 35, 47, 59, 94, 176, 5.6852, 305, 1, 0 %, 812, 141, 729, 49.61
2018-06-21 16:02:23, Istanbul, 41.0082, 28.9784, 33, 39, 53, 66, 105, 197, 5.0751, 336.8, 1, 0 %, 812, 141, 725, 49.38
2018-06-21 16:02:26, Odesa, 46.4825, 30.7233, 34, 40, 54, 67, 108, 202, 4.9395, 310.2, 3, 0 %, 783, 143, 683, 46.82
2018-06-21 16:02:30, Kiev, 50.4501, 30.5234, 35, 41, 55, 69, 111, 207, 4.8232, 305.5, 6, 0 %, 849, 120, 695, 45.7
2018-06-21 16:02:33, St.Peterburg, 59.9343, 30.3351, 49, 59, 79, 98, 157, 295, 3.3898, 351.7, 66, 0 %, 4, 212, 215, 41.83
