Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-13 16:44:21, Herzliya, 32.1592, 34.8071, 59, 70, 94, 117, 188, 352, 323.9, 8, 774, 118, 566, 36.0°
2018-06-13 14:44:26, Dakar, 14.7167, 17.4677, 28, 33, 45, 56, 89, 167, 283, 6, 860, 131, 769, 78.2°
2018-06-13 14:44:29, Conakry, 9.6412, 13.5784, 26, 31, 41, 52, 83, 155, 275.5, 3, 779, 167, 759, 71.9°
2018-06-13 16:44:32, Nairobi, -1.2921, 36.8219, 104, 124, 166, 207, 331, 621, 242.8, 13, 496, 146, 347, 24.2°
2018-06-13 14:44:35, Oran, 35.6971, -0.6308, 20, 24, 32, 40, 63, 119, 319.5, 0, 914, 146, 965, 64.7°
2018-06-13 15:44:38, Valencia, 39.4699, -0.3763, 23, 27, 36, 45, 73, 136, 345.8, 5, 810, 188, 901, 62.8°
2018-06-13 15:44:41, Bordeaux, 44.8378, -0.5792, 25, 30, 39, 49, 79, 148, 354.7, 56, 31, 379, 406, 60.0°
2018-06-13 15:44:45, Paris, 48.8566, 2.3522, 26, 32, 42, 53, 85, 159, 334, 62, 7, 322, 328, 55.9°
2018-06-13 14:44:48, London, 51.8074, -0.1278, 28, 34, 45, 56, 90, 168, 350.9, 34, 137, 463, 574, 55.3°
2018-06-13 14:44:51, Tunis, 33.8869, 9.5375, 23, 27, 36, 45, 72, 135, 307.3, 1, 891, 140, 884, 56.0°
2018-06-13 15:44:53, Vatican, 41.9029, 12.4534, 29, 35, 46, 58, 93, 174, 332.3, 22, 336, 373, 638, 52.9°
2018-06-13 15:44:57, Venice, 45.4408, 12.3155, 31, 37, 49, 62, 99, 185, 339.2, 1, 826, 151, 791, 51.7°
2018-06-13 15:45:00, Milan, 45.4642, 9.1901, 28, 33, 44, 55, 88, 166, 328.5, 27, 238, 415, 604, 53.7°
2018-06-13 15:45:04, Hamburg, 53.5511, 9.9937, 33, 40, 53, 66, 106, 198, 338.2, 51, 21, 366, 381, 49.3°
2018-06-13 15:45:07, Tirana, 41.3275, 19.8187, 35, 42, 56, 70, 112, 210, 331.6, 17, 457, 293, 627, 47.7°
2018-06-13 15:45:10, Belgrade, 44.7866, 20.4489, 36, 44, 58, 73, 117, 219, 331.1, 96, 113, 28, 28, 46.5°
2018-06-13 15:45:14, Budapest, 47.4979, 19.0402, 36, 44, 58, 73, 117, 219, 331, 34, 131, 396, 490, 46.7°
2018-06-13 15:45:17, Warsaw, 52.2297, 21.0122, 42, 50, 67, 84, 134, 252, 333.2, 50, 24, 331, 347, 43.9°
2018-06-13 15:45:20, Alexandria, 31.2001, 29.9187, 46, 56, 74, 93, 149, 279, 306.7, 4, 838, 116, 649, 39.9°
2018-06-13 16:45:22, Istanbul, 41.0082, 28.9784, 50, 60, 80, 100, 160, 300, 341.1, 4, 836, 118, 655, 40.8°
2018-06-13 16:45:26, Odesa, 46.4825, 30.7233, 54, 64, 86, 107, 172, 322, 347.6, 27, 211, 318, 448, 39.1°
2018-06-13 16:45:31, Kiev, 50.4501, 30.5234, 57, 68, 90, 113, 181, 339, 346.2, 11, 572, 197, 548, 38.6°
2018-06-13 16:45:34, St.Peterburg, 59.9343, 30.3351, 65, 78, 104, 130, 208, 389, 353.1, 28, 286, 259, 426, 36.5°
