Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-10 14:31:54, Herzliya, 32.1592, 34.8071, 18, 22, 29, 36, 58, 108, 290.8, 1, 893, 147, 923, 63.6°
2018-06-10 12:32:00, Dakar, 14.7167, 17.4677, 14, 17, 22, 28, 44, 83, 282.2, 0, 935, 153, 1048, 65.7°
2018-06-10 12:32:05, Conakry, 9.6412, 13.5784, 14, 17, 22, 28, 44, 83, 278.4, 2, 882, 172, 1016, 66.2°
2018-06-10 14:32:11, Nairobi, -1.2921, 36.8219, 21, 26, 34, 43, 68, 128, 257.8, 49, 31, 402, 425, 52.0°
2018-06-10 12:32:15, Oran, 35.6971, -0.6308, 17, 20, 27, 34, 54, 101, 327.5, 3, 857, 189, 1021, 75.8°
2018-06-10 13:32:21, Valencia, 39.4699, -0.3763, 17, 20, 27, 34, 54, 101, 315.3, 23, 368, 448, 800, 72.5°
2018-06-10 13:32:27, Bordeaux, 44.8378, -0.5792, 19, 23, 31, 38, 61, 115, 326.9, 55, 15, 434, 448, 67.4°
2018-06-10 13:32:34, Paris, 48.8566, 2.3522, 22, 26, 35, 44, 70, 131, 340.8, 47, 36, 474, 507, 64.0°
2018-06-10 12:32:40, London, 51.8074, -0.1278, 25, 31, 41, 51, 81, 153, 364.1, 42, 70, 482, 544, 61.1°
2018-06-10 12:32:49, Tunis, 33.8869, 9.5375, 16, 19, 25, 31, 50, 94, 315.2, 7, 920, 159, 1056, 75.9°
2018-06-10 13:32:59, Vatican, 41.9029, 12.4534, 21, 25, 34, 42, 68, 127, 370.9, 1, 917, 150, 1001, 70.5°
2018-06-10 13:33:04, Venice, 45.4408, 12.3155, 20, 24, 32, 40, 64, 120, 339.3, 1, 873, 163, 957, 67.1°
2018-06-10 13:33:10, Milan, 45.4642, 9.1901, 21, 25, 34, 42, 67, 126, 353.5, 1, 892, 157, 973, 67.5°
2018-06-10 13:33:19, Hamburg, 53.5511, 9.9937, 23, 28, 37, 46, 74, 139, 329.8, 63, 5, 332, 337, 59.4°
2018-06-10 13:33:32, Tirana, 41.3275, 19.8187, 20, 24, 32, 40, 64, 120, 343.9, 22, 367, 428, 763, 68.5°
2018-06-10 13:33:37, Belgrade, 44.7866, 20.4489, 20, 24, 32, 40, 64, 120, 328.3, 51, 21, 439, 458, 65.4°
2018-06-10 13:33:42, Budapest, 47.4979, 19.0402, 21, 25, 33, 42, 67, 125, 327.7, 20, 424, 381, 754, 63.5°
2018-06-10 13:33:48, Warsaw, 52.2297, 21.0122, 25, 29, 39, 49, 79, 147, 338.5, 12, 590, 280, 775, 58.7°
2018-06-10 13:33:53, Alexandria, 31.2001, 29.9187, 16, 20, 26, 33, 53, 99, 289.1, 4, 810, 192, 924, 67.5°
2018-06-10 14:33:58, Istanbul, 41.0082, 28.9784, 20, 24, 32, 39, 63, 118, 313.3, 7, 739, 217, 862, 63.8°
2018-06-10 14:34:04, Odesa, 46.4825, 30.7233, 25, 29, 39, 49, 79, 147, 346.1, 1, 875, 148, 878, 59.4°
2018-06-10 14:34:10, Kiev, 50.4501, 30.5234, 26, 32, 42, 53, 84, 158, 341.1, 1, 860, 149, 850, 56.7°
2018-06-10 14:34:16, St.Peterburg, 59.9343, 30.3351, 38, 46, 61, 76, 122, 228, 381.2, 13, 571, 251, 675, 49.4°
