Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-13 10:35:41, Herzliya, 32.1592, 34.8071, 22, 26, 35, 44, 71, 132, 323.9, 6, 762, 207, 890, 61.1°
2018-06-13 08:35:44, Dakar, 14.7167, 17.4677, 35, 42, 55, 69, 111, 208, 283, 2, 862, 124, 743, 11.6°
2018-06-13 08:35:48, Conakry, 9.6412, 13.5784, 43, 52, 69, 87, 139, 260, 275.5, 3, 767, 141, 633, 13.1°
2018-06-13 10:35:50, Nairobi, -1.2921, 36.8219, 20, 24, 32, 40, 63, 119, 242.8, 27, 274, 426, 648, 52.5°
2018-06-13 08:35:53, Oran, 35.6971, -0.6308, 80, 96, 128, 160, 256, 480, 319.5, 0, 831, 101, 571, 31.7°
2018-06-13 09:35:58, Valencia, 39.4699, -0.3763, 81, 97, 130, 162, 259, 486, 345.8, 0, 851, 98, 580, 32.4°
2018-06-13 09:36:03, Bordeaux, 44.8378, -0.5792, 83, 100, 134, 167, 267, 501, 354.7, 10, 600, 175, 512, 32.5°
2018-06-13 09:36:06, Paris, 48.8566, 2.3522, 69, 83, 110, 138, 220, 413, 334, 21, 362, 263, 477, 34.5°
2018-06-13 08:36:10, London, 51.8074, -0.1278, 83, 99, 132, 165, 264, 496, 350.9, 0, 843, 100, 579, 32.7°
2018-06-13 08:36:15, Tunis, 33.8869, 9.5375, 47, 56, 75, 93, 149, 280, 307.3, 1, 830, 121, 681, 40.6°
2018-06-13 09:36:18, Vatican, 41.9029, 12.4534, 46, 55, 74, 92, 147, 276, 332.3, 13, 559, 234, 625, 42.1°
2018-06-13 09:36:21, Venice, 45.4408, 12.3155, 47, 57, 76, 94, 151, 283, 339.2, 36, 851, 120, 705, 41.6°
2018-06-13 09:36:25, Milan, 45.4642, 9.1901, 50, 60, 81, 101, 161, 302, 328.5, 69, 3, 207, 210, 39.4°
2018-06-13 09:36:30, Hamburg, 53.5511, 9.9937, 55, 66, 88, 110, 176, 331, 338.2, 40, 69, 345, 391, 38.6°
2018-06-13 09:36:34, Tirana, 41.3275, 19.8187, 35, 42, 56, 70, 112, 210, 331.6, 1, 860, 134, 791, 47.7°
2018-06-13 09:36:39, Belgrade, 44.7866, 20.4489, 35, 42, 56, 70, 112, 210, 331.1, 6, 754, 173, 747, 47.4°
2018-06-13 09:36:42, Budapest, 47.4979, 19.0402, 38, 46, 61, 76, 122, 228, 331, 2, 826, 139, 749, 45.7°
2018-06-13 09:36:46, Warsaw, 52.2297, 21.0122, 38, 46, 61, 77, 123, 230, 333.2, 3, 807, 146, 736, 45.3°
2018-06-13 09:36:50, Alexandria, 31.2001, 29.9187, 22, 27, 36, 45, 72, 135, 306.7, 0, 896, 142, 912, 57.3°
2018-06-13 10:36:54, Istanbul, 41.0082, 28.9784, 28, 34, 45, 56, 90, 168, 341.1, 0, 905, 134, 889, 54.5°
2018-06-13 10:36:58, Odesa, 46.4825, 30.7233, 30, 35, 47, 59, 95, 177, 347.6, 2, 827, 158, 839, 53.5°
2018-06-13 10:37:03, Kiev, 50.4501, 30.5234, 32, 38, 50, 63, 101, 189, 346.2, 25, 289, 395, 626, 51.5°
2018-06-13 10:37:06, St.Peterburg, 59.9343, 30.3351, 41, 49, 66, 82, 131, 246, 353.1, 2, 881, 121, 763, 45.8°
