Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-10 10:33:47, Herzliya, 32.1592, 34.8071, 19, 23, 31, 39, 62, 116, 290.8, 0, 897, 150, 953, 60.8°
2018-06-10 08:33:51, Dakar, 14.7167, 17.4677, 34, 41, 55, 69, 110, 207, 282.2, 1, 872, 123, 749, 11.4°
2018-06-10 08:33:54, Conakry, 9.6412, 13.5784, 46, 56, 74, 93, 149, 279, 278.4, 33, 135, 351, 441, 12.9°
2018-06-10 10:33:57, Nairobi, -1.2921, 36.8219, 21, 26, 34, 43, 68, 128, 257.8, 51, 26, 421, 442, 52.4°
2018-06-10 08:34:01, Oran, 35.6971, -0.6308, 82, 98, 131, 164, 262, 491, 327.5, 23, 293, 268, 435, 31.4°
2018-06-10 09:34:04, Valencia, 39.4699, -0.3763, 79, 95, 126, 158, 252, 473, 315.3, 26, 260, 276, 425, 32.0°
2018-06-10 09:34:07, Bordeaux, 44.8378, -0.5792, 76, 92, 122, 153, 244, 458, 326.9, 23, 306, 264, 438, 32.2°
2018-06-10 09:34:09, Paris, 48.8566, 2.3522, 70, 84, 112, 140, 224, 421, 340.8, 41, 65, 310, 349, 34.1°
2018-06-10 08:34:12, London, 51.8074, -0.1278, 86, 103, 137, 172, 275, 515, 364.1, 47, 36, 285, 305, 32.4°
2018-06-10 08:34:14, Tunis, 33.8869, 9.5375, 48, 58, 77, 96, 154, 289, 315.2, 1, 842, 118, 687, 40.3°
2018-06-10 09:34:18, Vatican, 41.9029, 12.4534, 52, 63, 84, 104, 167, 313, 370.9, 1, 867, 119, 723, 41.8°
2018-06-10 09:34:21, Venice, 45.4408, 12.3155, 47, 57, 76, 94, 151, 283, 339.3, 0, 850, 121, 706, 41.3°
2018-06-10 09:34:23, Milan, 45.4642, 9.1901, 58, 69, 93, 116, 185, 347, 353.5, 2, 847, 116, 676, 39.1°
2018-06-10 09:34:26, Hamburg, 53.5511, 9.9937, 53, 64, 85, 107, 171, 320, 329.8, 73, 2, 169, 170, 38.3°
2018-06-10 09:34:29, Tirana, 41.3275, 19.8187, 36, 44, 58, 73, 116, 218, 343.9, 1, 848, 139, 787, 47.3°
2018-06-10 09:34:32, Belgrade, 44.7866, 20.4489, 36, 43, 58, 72, 115, 216, 328.3, 28, 229, 396, 570, 47.0°
2018-06-10 09:34:35, Budapest, 47.4979, 19.0402, 37, 45, 60, 75, 120, 225, 327.7, 28, 236, 379, 553, 45.4°
2018-06-10 09:34:39, Warsaw, 52.2297, 21.0122, 41, 49, 65, 81, 130, 244, 338.5, 12, 865, 126, 758, 45.0°
2018-06-10 09:34:43, Alexandria, 31.2001, 29.9187, 22, 26, 34, 43, 69, 129, 289.1, 8, 694, 231, 829, 57.0°
2018-06-10 10:34:46, Istanbul, 41.0082, 28.9784, 25, 30, 40, 51, 81, 152, 313.3, 3, 811, 170, 847, 54.1°
2018-06-10 10:34:49, Odesa, 46.4825, 30.7233, 29, 35, 47, 59, 94, 176, 346.1, 2, 889, 136, 867, 53.2°
2018-06-10 10:34:53, Kiev, 50.4501, 30.5234, 31, 37, 50, 62, 99, 186, 341.1, 4, 898, 130, 846, 51.1°
2018-06-10 10:34:55, St.Peterburg, 59.9343, 30.3351, 45, 54, 72, 89, 143, 268, 381.2, 11, 631, 217, 675, 45.5°
