Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 08:05:58, Herzliya, 32.1592, 34.8071, 85, 102, 136, 170, 271, 509, 1.9657, 295.2, 0, ['0', '%'], 775, 103, 509, 29.05
2018-06-23 06:06:02, Dakar, 14.7167, 17.4677, 956, 1147, 1530, 1912, 3060, 5737, 0.1743, 281.7, 43, ['0', '%'], 25, 76, 81, 8.77
2018-06-23 06:06:05, Conakry, 9.6412, 13.5784, 2869, 3442, 4590, 5737, 9179, 17212, 0.0581, 271.8, 31, ['97', '%'], 38, 40, 46, 3.31
2018-06-23 08:06:09, Nairobi, -1.2921, 36.8219, 159, 191, 255, 319, 510, 956, 1.0458, 251.4, 4, ['0', '%'], 661, 99, 352, 20.18
2018-06-23 06:06:12, Oran, 35.6971, -0.6308, 4303, 5163, 6885, 8606, 13769, 25817, 0.0387, 321.7, 0, ['0', '%'], 131, 36, 59, 2.44
2018-06-23 07:06:16, Valencia, 39.4699, -0.3763, 2459, 2951, 3934, 4918, 7868, 14753, 0.0678, 319, 0, ['0', '%'], 199, 48, 82, 4.35
2018-06-23 07:06:19, Bordeaux, 44.8378, -0.5792, 1565, 1878, 2503, 3129, 5007, 9388, 0.1065, 323.2, 0, ['0', '%'], 381, 50, 115, 6.65
2018-06-23 07:06:23, Paris, 48.8566, 2.3522, 748, 898, 1197, 1497, 2395, 4490, 0.2227, 322.7, 2, ['0', '%'], 494, 63, 170, 10.19
2018-06-23 06:06:26, London, 51.8074, -0.1278, 906, 1087, 1449, 1812, 2899, 5435, 0.184, 323.8, 0, None, 500, 61, 166, 10.0
2018-06-23 06:06:29, Tunis, 33.8869, 9.5375, 906, 1087, 1449, 1812, 2899, 5435, 0.184, 336.6, 0, ['0', '%'], 396, 68, 148, 9.32
2018-06-23 07:06:32, Vatican, 41.9029, 12.4534, 400, 480, 640, 801, 1281, 2402, 0.4164, 308.2, 39, ['0', '%'], 56, 132, 148, 14.29
2018-06-23 07:06:35, Venice, 45.4408, 12.3155, 391, 469, 626, 782, 1252, 2347, 0.4261, 350.6, 16, ['0', '%'], 316, 124, 219, 15.33
2018-06-23 07:06:38, Milan, 45.4642, 9.1901, 492, 590, 787, 984, 1574, 2951, 0.3389, 328.7, 28, ['63', '%'], 144, 124, 163, 13.27
2018-06-23 07:06:41, Hamburg, 53.5511, 9.9937, 382, 459, 612, 765, 1224, 2295, 0.4358, 390.7, 72, ['97', '%'], 2, 76, 76, 16.37
2018-06-23 07:06:45, Tirana, 41.3275, 19.8187, 233, 279, 372, 465, 744, 1396, 0.7166, 327.9, 81, ['97', '%'], 11, 61, 61, 19.44
2018-06-23 07:06:48, Belgrade, 44.7866, 20.4489, 202, 243, 324, 405, 648, 1215, 0.8231, 316.7, 9, ['0', '%'], 738, 79, 366, 20.72
2018-06-23 07:06:52, Budapest, 47.4979, 19.0402, 202, 243, 324, 405, 648, 1215, 0.8231, 317.7, 2, ['0', '%'], 718, 81, 355, 20.38
2018-06-23 07:06:56, Warsaw, 52.2297, 21.0122, 183, 220, 293, 366, 586, 1099, 0.9102, 349.6, 23, ['0', '%'], 250, 194, 298, 22.56
2018-06-23 07:06:59, Alexandria, 31.2001, 29.9187, 129, 155, 207, 259, 414, 776, 1.2879, 297.2, 0, ['0', '%'], 698, 104, 426, 24.99
2018-06-23 08:07:03, Istanbul, 41.0082, 28.9784, 121, 145, 194, 242, 388, 727, 1.375, 329.9, 6, ['0', '%'], 626, 129, 423, 26.17
2018-06-23 08:07:06, Odesa, 46.4825, 30.7233, 100, 120, 160, 200, 320, 600, 1.6655, 321.6, 8, ['67', '%'], 583, 148, 443, 28.12
2018-06-23 08:07:09, Kiev, 50.4501, 30.5234, 97, 116, 155, 193, 309, 580, 1.7236, 311.7, 93, ['97', '%'], 0, 30, 30, 28.3
2018-06-23 08:07:13, St.Peterburg, 59.9343, 30.3351, 101, 121, 161, 201, 322, 604, 1.6559, 322.1, 15, ['0', '%'], 774, 97, 487, 28.33
