Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-10 16:09:32, Herzliya, 32.1592, 34.8071, 36, 43, 57, 71, 114, 214, 290.8, 4, 833, 123, 673, 43.1°
2018-06-10 14:09:39, Dakar, 14.7167, 17.4677, 22, 26, 35, 43, 69, 129, 282.2, 3, 849, 156, 846, 81.6°
2018-06-10 14:09:42, Conakry, 9.6412, 13.5784, 20, 24, 32, 40, 64, 120, 278.4, 11, 885, 142, 876, 76.0°
2018-06-10 16:09:47, Nairobi, -1.2921, 36.8219, 62, 75, 100, 125, 200, 375, 257.8, 22, 326, 241, 406, 31.7°
2018-06-10 14:09:52, Oran, 35.6971, -0.6308, 18, 22, 29, 36, 58, 109, 327.5, 4, 832, 191, 963, 70.5°
2018-06-10 15:09:56, Valencia, 39.4699, -0.3763, 18, 22, 29, 36, 58, 108, 315.3, 7, 765, 221, 920, 68.0°
2018-06-10 15:10:00, Bordeaux, 44.8378, -0.5792, 20, 24, 32, 41, 65, 122, 326.9, 38, 101, 492, 583, 64.1°
2018-06-10 15:10:05, Paris, 48.8566, 2.3522, 24, 29, 38, 48, 77, 144, 340.8, 50, 24, 427, 447, 59.7°
2018-06-10 14:10:09, London, 51.8074, -0.1278, 27, 32, 43, 54, 86, 161, 364.1, 8, 724, 219, 827, 58.4°
2018-06-10 14:10:14, Tunis, 33.8869, 9.5375, 20, 24, 32, 40, 64, 119, 315.2, 8, 901, 148, 948, 62.3°
2018-06-10 15:10:19, Vatican, 41.9029, 12.4534, 27, 33, 44, 55, 88, 164, 370.9, 0, 891, 141, 884, 58.5°
2018-06-10 15:10:23, Venice, 45.4408, 12.3155, 26, 31, 42, 52, 84, 157, 339.3, 1, 868, 146, 855, 56.8°
2018-06-10 15:10:28, Milan, 45.4642, 9.1901, 26, 31, 41, 52, 83, 155, 353.5, 34, 140, 466, 583, 58.6°
2018-06-10 15:10:32, Hamburg, 53.5511, 9.9937, 29, 34, 46, 57, 92, 172, 329.8, 22, 365, 357, 643, 53.0°
2018-06-10 15:10:37, Tirana, 41.3275, 19.8187, 29, 35, 47, 58, 93, 175, 343.9, 30, 189, 423, 572, 53.6°
2018-06-10 15:10:42, Belgrade, 44.7866, 20.4489, 29, 34, 46, 57, 91, 172, 328.3, 47, 33, 395, 420, 52.0°
2018-06-10 15:10:46, Budapest, 47.4979, 19.0402, 29, 35, 47, 59, 94, 177, 327.7, 13, 570, 260, 695, 51.8°
2018-06-10 15:10:51, Warsaw, 52.2297, 21.0122, 34, 41, 55, 69, 110, 206, 338.5, 12, 570, 245, 663, 48.4°
2018-06-10 15:10:55, Alexandria, 31.2001, 29.9187, 30, 36, 48, 59, 95, 178, 289.1, 2, 809, 145, 724, 46.9°
2018-06-10 16:11:00, Istanbul, 41.0082, 28.9784, 33, 39, 52, 65, 105, 196, 313.3, 12, 551, 245, 636, 47.0°
2018-06-10 16:11:04, Odesa, 46.4825, 30.7233, 42, 50, 67, 84, 134, 251, 346.1, 4, 749, 158, 669, 44.6°
2018-06-10 16:11:08, Kiev, 50.4501, 30.5234, 43, 52, 69, 86, 138, 259, 341.1, 1, 853, 121, 688, 43.6°
2018-06-10 16:11:12, St.Peterburg, 59.9343, 30.3351, 57, 68, 91, 113, 181, 340, 381.2, 4, 745, 144, 613, 40.2°
