Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI, DHI, GHI, Sun Altitude (Degree)
6/6/2018 14:17, Herzliya,32.1592,34.8071,21,25,33,41,66,123,341.9,0,907,153,982, 66.2°
6/6/2018 12:17, Dakar,14.7167,17.4677,13,16,21,27,43,80,278,0,947,154,1081, 62.7°
6/6/2018 12:18, Conakry,9.6412,13.5784,13,16,21,27,43,80,273.8,2,872,181,1027, 63.6°
6/6/2018 14:18, Nairobi,-1.2921,36.8219,18,22,30,37,59,111,242.9,41,74,473,533, 54.7°
6/6/2018 12:18, Oran,35.6971,-0.6308,17,21,28,35,56,105,329,1,938,151,1049, 74.0°
6/6/2018 13:18, Valencia,39.4699,-0.3763,19,22,30,37,59,111,333.3,22,383,438,800, 71.0°
6/6/2018 13:18, Bordeaux,44.8378,-0.5792,20,24,32,40,64,121,335,55,15,432,446, 66.2°
6/6/2018 13:18, Paris,48.8566,2.3522,22,26,35,44,70,131,340.5,62,6,353,359, 63.1°
6/6/2018 12:18, London,51.8074,-0.1278,24,29,38,48,76,143,338.4,0,936,133,941, 60.1°
6/6/2018 12:18, Tunis,33.8869,9.5375,16,20,26,33,52,98,327.8,12,922,160,1058, 75.9°
6/6/2018 13:18, Vatican,41.9029,12.4534,19,23,31,39,62,116,344.7,5,801,207,958, 70.7°
6/6/2018 13:18, Venice,45.4408,12.3155,21,25,34,42,68,127,355.5,6,765,216,917, 67.2°
6/6/2018 13:18, Milan,45.4642,9.1901,20,24,33,41,65,122,344.6,7,754,225,917, 67.2°
6/6/2018 13:18, Hamburg,53.5511,9.9937,23,28,37,46,73,138,327.8,5,916,136,919, 59.1°
6/6/2018 13:18, Tirana,41.3275,19.8187,19,23,30,38,61,114,335.6,38,101,522,616, 69.6°
6/6/2018 13:18, Belgrade,44.7866,20.4489,22,27,36,45,72,135,368.5,3,854,175,951, 66.3°
6/6/2018 13:18, Budapest,47.4979,19.0402,22,27,35,44,71,133,351.4,8,720,234,878, 64.1°
6/6/2018 13:18, Warsaw,52.2297,21.0122,23,28,38,47,75,141,333.1,1,930,135,926, 59.2°
6/6/2018 13:18, Alexandria,31.2001,29.9187,18,22,29,36,58,109,328.3,0,923,152,1023, 70.3°
6/6/2018 14:18, Istanbul,41.0082,28.9784,21,26,34,43,68,128,346.5,8,904,152,971, 65.7°
6/6/2018 14:18, Odesa,46.4825,30.7233,24,28,38,47,75,141,342.1,21,379,398,726, 60.9°
6/6/2018 14:19, Kiev,50.4501,30.5234,25,30,40,50,80,150,335.2,2,923,135,910, 57.9°
6/6/2018 14:19, St.Peterburg,59.9343,30.3351,39,47,62,78,124,233,401.7,62,7,299,304, 50.1°
