Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 13:07:39, Herzliya, 32.1592, 34.8071, 14, 17, 23, 29, 46, 86, 11.6298, 295.2, 0, ['0', '%'], 906, 161, 1045, 79.76
2018-06-23 11:07:43, Dakar, 14.7167, 17.4677, 14, 17, 22, 28, 45, 84, 11.9687, 281.7, 1, ['0', '%'], 888, 167, 1033, 76.25
2018-06-23 11:07:47, Conakry, 9.6412, 13.5784, 14, 17, 23, 29, 46, 87, 11.5136, 271.8, 72, ['96', '%'], 1, 273, 275, 70.01
2018-06-23 13:07:51, Nairobi, -1.2921, 36.8219, 15, 18, 24, 30, 47, 89, 11.2715, 251.4, 18, ['0', '%'], 524, 344, 809, 64.05
2018-06-23 11:07:55, Oran, 35.6971, -0.6308, 21, 26, 34, 43, 68, 128, 7.8048, 321.7, 0, ['0', '%'], 908, 144, 958, 61.85
2018-06-23 12:07:58, Valencia, 39.4699, -0.3763, 22, 26, 35, 44, 70, 131, 7.6596, 319, 0, ['0', '%'], 915, 139, 951, 60.68
2018-06-23 12:08:02, Bordeaux, 44.8378, -0.5792, 23, 28, 37, 47, 75, 140, 7.156, 323.2, 0, ['0', '%'], 920, 133, 929, 58.0
2018-06-23 12:08:06, Paris, 48.8566, 2.3522, 24, 29, 38, 48, 76, 143, 6.9817, 322.7, 8, ['0', '%'], 905, 135, 907, 57.21
2018-06-23 11:08:09, London, 51.8074, -0.1278, 26, 32, 42, 53, 84, 158, 6.3426, 323.8, 7, None, 764, 191, 820, 54.08
2018-06-23 11:08:12, Tunis, 33.8869, 9.5375, 19, 23, 30, 38, 60, 113, 8.8603, 336.6, 0, ['0', '%'], 899, 155, 1009, 70.31
2018-06-23 12:08:16, Vatican, 41.9029, 12.4534, 18, 21, 29, 36, 57, 107, 9.3445, 308.2, 19, ['0', '%'], 435, 393, 797, 67.15
2018-06-23 12:08:19, Venice, 45.4408, 12.3155, 22, 27, 35, 44, 71, 133, 7.5337, 350.6, 6, ['0', '%'], 909, 146, 970, 64.33
2018-06-23 12:08:23, Milan, 45.4642, 9.1901, 21, 26, 34, 43, 69, 128, 7.7855, 328.7, 1, ['0', '%'], 875, 158, 947, 62.94
2018-06-23 12:08:27, Hamburg, 53.5511, 9.9937, 31, 37, 49, 62, 99, 185, 5.3937, 390.7, 38, ['94', '%'], 100, 471, 556, 56.78
2018-06-23 12:08:30, Tirana, 41.3275, 19.8187, 18, 22, 29, 36, 58, 109, 9.1605, 327.9, 30, ['95', '%'], 204, 515, 707, 70.67
2018-06-23 12:08:34, Belgrade, 44.7866, 20.4489, 18, 22, 29, 37, 59, 110, 9.054, 316.7, 18, ['0', '%'], 485, 371, 820, 67.65
2018-06-23 12:08:38, Budapest, 47.4979, 19.0402, 20, 24, 31, 39, 63, 118, 8.4827, 317.7, 17, ['0', '%'], 525, 338, 814, 64.77
2018-06-23 12:08:41, Warsaw, 52.2297, 21.0122, 24, 29, 39, 48, 78, 145, 6.8752, 349.6, 32, ['63', '%'], 167, 485, 630, 60.64
2018-06-23 12:08:45, Alexandria, 31.2001, 29.9187, 14, 17, 23, 28, 45, 85, 11.8041, 297.2, 0, ['0', '%'], 910, 162, 1058, 82.13
2018-06-23 13:08:49, Istanbul, 41.0082, 28.9784, 18, 21, 28, 36, 57, 107, 9.3832, 329.9, 32, ['59', '%'], 162, 531, 685, 72.41
2018-06-23 13:08:53, Odesa, 46.4825, 30.7233, 19, 23, 31, 38, 61, 115, 8.7151, 321.6, 4, ['73', '%'], 799, 193, 924, 66.88
2018-06-23 13:08:57, Kiev, 50.4501, 30.5234, 20, 24, 32, 40, 64, 120, 8.3084, 311.7, 67, ['68', '%'], 2, 299, 302, 62.93
2018-06-23 13:09:00, St.Peterburg, 59.9343, 30.3351, 27, 32, 43, 54, 87, 162, 6.1587, 322.1, 25, ['0', '%'], 308, 386, 633, 53.48
