Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 07:05:26, Herzliya, 32.1592, 34.8071, 297, 356, 475, 594, 950, 1781, 0.5616, 295.2, 3, ['0', '%'], 546, 95, 279, 16.64
2018-06-23 05:05:30, Dakar, 14.7167, 17.4677, None, None, None, None, None, None, 0, 281.7, 36, ['0', '%'], 0, 3, 3, -4.62
2018-06-23 05:05:35, Conakry, 9.6412, 13.5784, None, None, None, None, None, None, 0, 271.8, 80, ['98', '%'], 0, 0, 0, -10.25
2018-06-23 07:05:38, Nairobi, -1.2921, 36.8219, 1324, 1589, 2118, 2648, 4237, 7944, 0.1259, 251.4, 18, ['0', '%'], 435, 42, 121, 6.43
2018-06-23 05:05:42, Oran, 35.6971, -0.6308, None, None, None, None, None, None, 0, 321.7, 0, ['0', '%'], 0, 0, 0, -7.99
2018-06-23 06:05:46, Valencia, 39.4699, -0.3763, None, None, None, None, None, None, 0, 319, 1, ['0', '%'], 3, 3, 3, -5.57
2018-06-23 06:05:49, Bordeaux, 44.8378, -0.5792, None, None, None, None, None, None, 0, 323.2, 0, ['0', '%'], 12, 5, 7, -2.45
2018-06-23 06:05:53, Paris, 48.8566, 2.3522, 5737, 6885, 9179, 11474, 18359, 34423, 0.0291, 322.7, 1, ['0', '%'], 89, 26, 41, 1.55
2018-06-23 05:05:57, London, 51.8074, -0.1278, 4303, 5163, 6885, 8606, 13769, 25817, 0.0387, 323.8, 0, None, 94, 27, 43, 2.0
2018-06-23 05:06:00, Tunis, 33.8869, 9.5375, None, None, None, None, None, None, 0, 336.6, 0, ['0', '%'], 15, 5, 8, -1.95
2018-06-23 06:06:04, Vatican, 41.9029, 12.4534, 3442, 4131, 5508, 6885, 11015, 20654, 0.0484, 308.2, 4, ['0', '%'], 206, 40, 75, 3.98
2018-06-23 06:06:07, Venice, 45.4408, 12.3155, 2151, 2582, 3442, 4303, 6885, 12909, 0.0775, 350.6, 57, ['0', '%'], 6, 40, 41, 5.58
2018-06-23 06:06:11, Milan, 45.4642, 9.1901, 3442, 4131, 5508, 6885, 11015, 20654, 0.0484, 328.7, 4, ['68', '%'], 189, 37, 68, 3.68
2018-06-23 06:06:15, Hamburg, 53.5511, 9.9937, 1229, 1475, 1967, 2459, 3934, 7376, 0.1356, 390.7, 85, ['65', '%'], 0, 19, 19, 8.13
2018-06-23 06:06:19, Tirana, 41.3275, 19.8187, 1076, 1291, 1721, 2151, 3442, 6454, 0.1549, 327.9, 73, ['95', '%'], 3, 39, 40, 8.73
2018-06-23 06:06:27, Belgrade, 44.7866, 20.4489, 748, 898, 1197, 1497, 2395, 4490, 0.2227, 316.7, 12, ['33', '%'], 545, 60, 180, 10.54
2018-06-23 06:06:31, Budapest, 47.4979, 19.0402, 748, 898, 1197, 1497, 2395, 4490, 0.2227, 317.7, 1, ['0', '%'], 512, 64, 180, 10.7
2018-06-23 06:06:34, Warsaw, 52.2297, 21.0122, 506, 607, 810, 1012, 1620, 3037, 0.3292, 349.6, 9, ['0', '%'], 374, 102, 205, 13.66
2018-06-23 06:06:38, Alexandria, 31.2001, 29.9187, 522, 626, 834, 1043, 1669, 3129, 0.3196, 297.2, 25, ['0', '%'], 125, 120, 154, 12.63
2018-06-23 07:06:42, Istanbul, 41.0082, 28.9784, 374, 449, 599, 748, 1197, 2245, 0.4454, 329.9, 43, ['0', '%'], 39, 133, 144, 15.13
2018-06-23 07:06:46, Odesa, 46.4825, 30.7233, 287, 344, 459, 574, 918, 1721, 0.581, 321.6, 56, ['45', '%'], 12, 128, 132, 17.92
2018-06-23 07:06:50, Kiev, 50.4501, 30.5234, 249, 299, 399, 499, 798, 1497, 0.6682, 311.7, 75, ['65', '%'], 2, 76, 76, 18.82
2018-06-23 07:06:54, St.Peterburg, 59.9343, 30.3351, 207, 249, 332, 415, 664, 1244, 0.8037, 322.1, 15, ['25', '%'], 676, 87, 350, 20.82
